,source,target,weight
0,Kyle,Stan,18
1,Cartman,Stan,13
2,Cartman,Kyle,14
3,Kenny,Stan,5
4,Kenny,Kyle,6
5,Cartman,Kenny,3
6,Shelly,Stan,5
7,Jesus,Stan,1
8,Jesus,Shelly,1
9,Kyle,Shelly,2
10,Cartman,Shelly,2
11,Kyle,Mephesto,4
12,Kenny,Mephesto,2
13,Mephesto,Stan,3
14,Cartman,Mephesto,1
15,Cartman,Jason,1
16,Cartman,Pip,2
17,Jason,Pip,1
18,Pip,Stan,1
19,Chef,Stan,4
20,Chef,Kyle,7
21,Cartman,Chef,3
22,Chef,Kenny,1
23,Chef,Mephesto,1
24,Jimbo,Stan,2
25,Jimbo,Kyle,1
26,Randy,Stan,1
27,Sharon,Stan,1
28,Randy,Shelly,1
29,Sharon,Shelly,1
30,Randy,Sharon,1
