,source,target,weight
0,Cartman,Kyle,44
1,Cartman,Stan,28
2,Cartman,Liane,8
3,Kyle,Stan,32
4,Kyle,Liane,6
5,Liane,Stan,2
6,Cartman,Kenny,4
7,Kenny,Kyle,4
8,Kenny,Stan,2
9,Cartman,Wendy,2
10,Cartman,Marvin,4
11,Bebe,Cartman,2
12,Cartman,Clyde,4
13,Cartman,Pip,2
14,Bebe,Kyle,2
15,Clyde,Kyle,4
16,Kyle,Pip,2
17,Bebe,Stan,1
18,Clyde,Stan,2
19,Pip,Stan,1
20,Bebe,Clyde,2
21,Bebe,Pip,1
22,Clyde,Pip,2
23,Chef,Mephesto,12
24,Chef,Kyle,4
25,Liane,Marvin,1
26,Chef,Stan,2
27,Jimbo,Kyle,2
28,Jimbo,Stan,1
29,Ethiopian,Marvin,1
30,Carol,Stuart,2
