,source,target,weight
0,Kenny,Kyle,4
1,Kenny,Stan,2
2,Kyle,Stan,40
3,Kyle,Liane,2
4,Liane,Stan,1
5,Cartman,Kenny,2
6,Cartman,Kyle,40
7,Cartman,Stan,22
8,Cartman,Clyde,12
9,Cartman,Peter,8
10,Clyde,Kenny,2
11,Kenny,Peter,2
12,Clyde,Kyle,8
13,Kyle,Peter,4
14,Clyde,Stan,4
15,Peter,Stan,2
16,Clyde,Peter,4
17,Cartman,Liane,10
18,Cartman,Kitty,4
19,Kitty,Liane,2
20,Jimbo,Liane,2
21,Cartman,Chef,20
22,Chef,Liane,6
23,Kyle,Randy,2
24,Kyle,Sharon,4
25,Randy,Stan,1
26,Sharon,Stan,2
27,Randy,Sharon,1
28,Cartman,Jimbo,4
29,Cartman,Mephesto,4
30,Mephesto,Stan,1
31,Cartman,Ned,2
32,Kyle,Mephesto,2
33,Jimbo,Kyle,2
34,Kyle,Ned,2
35,Jimbo,Mephesto,1
36,Mephesto,Ned,1
37,Jimbo,Ned,1
