,source,target,weight
0,Kyle,Stan,34
1,Chef,Kyle,44
2,Chef,Stan,20
3,Cartman,Kyle,60
4,Cartman,Stan,28
5,Cartman,Pip,6
6,Kyle,Pip,12
7,Pip,Stan,3
8,Clyde,Kyle,8
9,Clyde,Stan,4
10,Chef,Clyde,8
11,Cartman,Chef,32
12,Chef,Pip,4
13,Bebe,Cartman,2
14,Cartman,Clyde,4
15,Bebe,Kyle,2
16,Bebe,Stan,1
17,Bebe,Clyde,2
18,Cartman,Sheila,8
19,Boys,Cartman,2
20,Kyle,Sheila,8
21,Boys,Kyle,2
22,Sheila,Stan,5
23,Boys,Stan,1
24,Boys,Sheila,1
25,Gerald,Sheila,3
26,Sharon,Sheila,3
27,Randy,Stan,1
28,Sharon,Stan,1
29,Randy,Sharon,2
30,Randy,Sheila,1
31,Kenny,Kids,1
32,Cartman,Kevin,12
33,Kevin,Kyle,12
34,Kevin,Stan,6
35,Chef,Kevin,18
36,Chef,Tom,8
