,source,target,weight
0,Cartman,Liane,6
1,Cartman,Kenny,8
2,Cartman,Kyle,60
3,Cartman,Stan,28
4,Kenny,Kyle,8
5,Kenny,Stan,4
6,Kyle,Stan,42
7,Cartman,Chef,20
8,Boys,Cartman,2
9,Cartman,Veronica,16
10,Chef,Kyle,28
11,Boys,Kyle,2
12,Kyle,Veronica,20
13,Chef,Stan,16
14,Boys,Stan,1
15,Stan,Veronica,10
16,Boys,Chef,2
17,Chef,Veronica,16
18,Boys,Veronica,2
19,Cartman,Kids,2
20,Kids,Kyle,2
21,Kids,Stan,1
22,Chef,Kids,2
23,Kyle,Liane,4
24,Liane,Stan,2
25,Kyle,Thomas,20
26,Stan,Thomas,12
27,Liane,Veronica,2
28,Chef,Thomas,16
29,Thomas,Veronica,8
30,Cartman,Thomas,12
31,Chef,Kenny,2
32,Kenny,Thomas,2
