,source,target,weight
0,Kyle,Stan,11
1,Cartman,Stan,12
2,Cartman,Kyle,11
3,Kenny,Stan,2
4,Kenny,Kyle,2
5,Cartman,Kenny,2
6,Jimbo,Stan,4
7,Ned,Stan,3
8,Jimbo,Kyle,3
9,Kyle,Ned,2
10,Cartman,Jimbo,5
11,Cartman,Ned,3
12,Jimbo,Ned,5
13,Sheila,Stan,2
14,Cartman,Sheila,2
15,Jimbo,Sheila,1
16,Ned,Sheila,1
17,Cartman,Liane,4
18,Mephesto,Stan,1
19,Kyle,Mephesto,1
20,Gerald,Randy,1
21,Kyle,Sheila,1
22,Jimbo,Liane,2
23,Barbrady,Jimbo,1
24,Barbrady,Ned,1
25,Liane,Stan,1
26,Randy,Stan,1
27,Kyle,Liane,1
28,Kyle,Randy,1
29,Cartman,Randy,1
30,Liane,Ned,1
31,Liane,Randy,1
32,Jimbo,Randy,1
33,Ned,Randy,1
