,source,target,weight
0,Kyle,Stan,11
1,Cartman,Stan,9
2,Stan,Tweek,9
3,Cartman,Kyle,10
4,Kyle,Tweek,8
5,Cartman,Tweek,6
6,Kenny,Wendy,2
7,Kenny,Stan,2
8,Stan,Tolkien,1
9,Bebe,Stan,1
10,Kenny,Kyle,2
11,Kyle,Tolkien,1
12,Bebe,Kyle,1
13,Cartman,Kenny,2
14,Cartman,Tolkien,1
15,Bebe,Cartman,1
16,Kenny,Tolkien,1
17,Bebe,Kenny,2
18,Bebe,Tolkien,1
19,Stan,Wendy,1
20,Kyle,Wendy,1
21,Cartman,Wendy,1
22,Tweek,Wendy,1
23,Jimbo,Stan,1
24,Ned,Stan,1
25,Jimbo,Kyle,1
26,Kyle,Ned,1
27,Jimbo,Ned,1
28,Jimbo,Tweek,1
29,Ned,Tweek,1
30,Bebe,Wendy,1
