,source,target,weight
0,Randy,Stan,5
1,Butters,Stan,13
2,Pip,Stan,11
3,Sharon,Stan,3
4,Butters,Pip,10
5,Butters,Randy,3
6,Butters,Sharon,3
7,Pip,Randy,1
8,Pip,Sharon,1
9,Randy,Sharon,5
10,Gerald,Randy,9
11,Gerald,Sharon,3
12,Gerald,Sheila,1
13,Randy,Sheila,1
14,Sharon,Sheila,1
15,Gerald,Jimbo,2
16,Jimbo,Randy,2
17,Gerald,Stan,2
18,Butters,Gerald,2
19,Barbrady,Stan,1
20,Barbrady,Butters,1
21,Mackey,Stan,1
22,Mackey,Pip,1
23,Gerald,Mackey,1
24,Gerald,Ned,1
25,Jimbo,Mackey,1
26,Jimbo,Ned,1
27,Mackey,Ned,1
28,Mackey,Randy,1
29,Ned,Randy,1
30,Kyle,Stan,2
31,Butters,Kyle,2
32,Kyle,Pip,2
