,source,target,weight
0,Cartman,Liane,2
1,Cartman,Stan,9
2,Kenny,Stan,3
3,Cartman,Kenny,3
4,Liane,Sharon,4
5,Kyle,Stan,7
6,Cartman,Kyle,7
7,Kenny,Kyle,2
8,Ike,Kyle,1
9,Gerald,Kyle,1
10,Kyle,Sheila,2
11,Gerald,Ike,1
12,Ike,Sheila,1
13,Gerald,Sheila,2
14,Randy,Sharon,5
15,Liane,Randy,2
16,Liane,Sheila,3
17,Randy,Sheila,2
18,Sharon,Sheila,4
19,Stan,Wendy,1
20,Cartman,Wendy,1
21,Jimbo,Randy,1
22,Jimbo,Sharon,1
23,Sharon,Stan,2
24,Gerald,Stan,1
25,Sheila,Stan,2
26,Gerald,Sharon,1
27,Liane,Stan,1
28,Randy,Stan,1
29,Kyle,Liane,1
30,Kyle,Randy,1
31,Kyle,Sharon,1
32,Cartman,Randy,1
33,Cartman,Sharon,1
34,Cartman,Sheila,1
