,source,target,weight
0,Cartman,Liane,6
1,Cartman,Kyle,12
2,Cartman,Stan,10
3,Cartman,Gerald,2
4,Cartman,Jimbo,6
5,Cartman,Mark,16
6,Cartman,Mayor,4
7,Kyle,Stan,8
8,Gerald,Kyle,2
9,Jimbo,Kyle,6
10,Kyle,Mark,24
11,Kyle,Mayor,4
12,Gerald,Stan,2
13,Jimbo,Stan,4
14,Mark,Stan,12
15,Mayor,Stan,2
16,Gerald,Jimbo,4
17,Gerald,Mark,2
18,Gerald,Mayor,1
19,Jimbo,Mark,6
20,Jimbo,Mayor,2
21,Mark,Mayor,4
22,Cartman,Rebecca,4
23,Kyle,Rebecca,12
24,Rebecca,Stan,2
25,Jimbo,Rebecca,2
26,Mark,Rebecca,8
27,Mayor,Rebecca,1
28,Butters,Stan,3
29,Craig,Stan,4
30,Pip,Stan,2
31,Butters,Craig,4
32,Butters,Mark,6
33,Butters,Pip,2
34,Craig,Mark,8
35,Craig,Pip,2
36,Mark,Pip,4
37,Boys,Butters,2
38,Boys,Craig,2
39,Boys,Mark,2
40,Gerald,Randy,2
41,Jimbo,Randy,3
42,Kenny,Kyle,2
43,Kenny,Stan,2
44,Craig,Kenny,1
45,Kenny,Mark,2
46,Craig,Kyle,4
47,Cartman,Kenny,2
48,Kenny,Liane,1
49,Liane,Stan,1
50,Bill,Stan,6
51,Randy,Stan,2
52,Boys,Stan,1
53,Bill,Butters,6
54,Bill,Craig,6
55,Bill,Gerald,6
56,Bill,Jimbo,6
57,Bill,Randy,6
58,Bill,Boys,6
59,Butters,Gerald,1
60,Butters,Jimbo,2
61,Butters,Randy,2
62,Craig,Gerald,1
63,Craig,Jimbo,2
64,Craig,Randy,2
65,Boys,Gerald,1
66,Boys,Jimbo,1
67,Boys,Randy,1
68,Butters,Cartman,2
69,Cartman,Craig,2
70,Cartman,Pip,2
71,Cartman,Randy,2
72,Cartman,Kids,2
73,Cartman,Tolkien,2
74,Butters,Kyle,2
75,Kyle,Pip,2
76,Kyle,Randy,2
77,Kids,Kyle,2
78,Kyle,Tolkien,2
79,Kids,Stan,1
80,Stan,Tolkien,1
81,Butters,Rebecca,1
82,Butters,Kids,1
83,Butters,Tolkien,1
84,Craig,Rebecca,1
85,Craig,Kids,1
86,Craig,Tolkien,1
87,Jimbo,Pip,1
88,Jimbo,Kids,1
89,Jimbo,Tolkien,1
90,Mark,Randy,2
91,Kids,Mark,2
92,Mark,Tolkien,2
93,Pip,Randy,1
94,Pip,Rebecca,1
95,Kids,Pip,1
96,Pip,Tolkien,1
97,Randy,Rebecca,1
98,Kids,Randy,1
99,Randy,Tolkien,1
100,Kids,Rebecca,1
101,Rebecca,Tolkien,1
102,Kids,Tolkien,1
