,source,target,weight
0,Kids,Mailman,6
1,Bradley Biggle,Mailman,3
2,Mailman,Mr. Hankey,3
3,Bradley Biggle,Kids,2
4,Kids,Mr. Hankey,2
5,Bradley Biggle,Mr. Hankey,1
6,Cartman,Kyle,105
7,Kyle,Stan,58
8,Cartman,Stan,72
9,Kyle,Sheila,53
10,Gerald,Kyle,37
11,Cartman,Sheila,73
12,Cartman,Gerald,45
13,Sheila,Stan,52
14,Gerald,Stan,44
15,Gerald,Sheila,50
16,Adolf,Satan,18
17,Adolf,With Demons,3
18,Adolf,With the Kennedys,3
19,Adolf,With the Damned,3
20,Adolf,With Choir,12
21,Adolf,Females,15
22,Adolf,Males,6
23,Adolf,Bailey,3
24,Satan,With Demons,6
25,Satan,With the Kennedys,6
26,Satan,With the Damned,6
27,Satan,With Choir,24
28,Females,Satan,30
29,Males,Satan,12
30,Bailey,Satan,6
31,With Demons,With the Kennedys,1
32,With Demons,With the Damned,1
33,With Choir,With Demons,4
34,Females,With Demons,5
35,Males,With Demons,2
36,Bailey,With Demons,1
37,With the Damned,With the Kennedys,1
38,With Choir,With the Kennedys,4
39,Females,With the Kennedys,5
40,Males,With the Kennedys,2
41,Bailey,With the Kennedys,1
42,With Choir,With the Damned,4
43,Females,With the Damned,5
44,Males,With the Damned,2
45,Bailey,With the Damned,1
46,Females,With Choir,20
47,Males,With Choir,8
48,Bailey,With Choir,4
49,Females,Males,10
50,Bailey,Females,5
51,Bailey,Males,2
52,Left,Right,3
53,Centers,Right,1
54,Center,Right,1
55,Class,Kenny,1
56,Jesus,Santa,306
57,Both,Santa,108
58,Both,Jesus,102
59,Cartman,With Boys,1
60,Mr. Hankey,With Boys,1
61,Kyle,With Boys,1
62,Cartman,Mr. Hankey,1
63,Kyle,Mr. Hankey,1
