,source,target,weight
0,Class,Mr. Garrison,11
1,Cartman,Class,3
2,Class,Kyle,1
3,Class,Mr. Mackey,10
4,Class,Stan,1
5,Cartman,Mr. Garrison,41
6,Kyle,Mr. Garrison,18
7,Mr. Garrison,Mr. Mackey,119
8,Mr. Garrison,Stan,16
9,Cartman,Kyle,91
10,Cartman,Mr. Mackey,93
11,Cartman,Stan,80
12,Kyle,Mr. Mackey,53
13,Kyle,Stan,63
14,Mr. Mackey,Stan,40
15,Cartman,Kenny,32
16,Kenny,Kyle,22
17,Kenny,Stan,16
18,Kenny,Mr. Garrison,3
19,Kenny,Mr. Mackey,26
20,Kenny,Mr. Hat,15
21,Kenny,Students,3
22,Kenny,Ms. Crabtree,3
23,Cartman,Mr. Hat,35
24,Cartman,Students,7
25,Cartman,Ms. Crabtree,7
26,Kyle,Mr. Hat,20
27,Kyle,Students,4
28,Kyle,Ms. Crabtree,4
29,Mr. Hat,Stan,15
30,Stan,Students,3
31,Ms. Crabtree,Stan,3
32,Mr. Garrison,Mr. Hat,5
33,Mr. Garrison,Students,1
34,Mr. Garrison,Ms. Crabtree,1
35,Mr. Hat,Mr. Mackey,40
36,Mr. Mackey,Students,8
37,Mr. Mackey,Ms. Crabtree,8
38,Mr. Hat,Students,5
39,Mr. Hat,Ms. Crabtree,5
40,Ms. Crabtree,Students,1
41,Coordinator,Mr. Mackey,8
42,Coordinator,Kyle,17
43,Coordinator,Stan,13
44,Cartman,Coordinator,17
45,Coordinator,Kenny,5
46,Black kid,Coordinator,4
47,Black kid,Mr. Mackey,2
48,Black kid,Kyle,4
49,Black kid,Stan,2
50,Black kid,Cartman,3
51,Black kid,Kenny,1
52,Mr. Garrison,Mr. Garrison Sr.,139
53,Mr. Garrison,Mrs. Garrison Sr.,65
54,Mr. Garrison Sr.,Mrs. Garrison Sr.,20
55,Coordinator,Yoko Ono,1
56,Cartman,Yoko Ono,2
57,Kenny,Yoko Ono,1
58,Kyle,Yoko Ono,4
59,Stan,Yoko Ono,3
60,Mr. Garrison Sr.,Mr. Mackey,72
61,Mr. Garrison,Reporter,6
62,Mr. Garrison Sr.,Reporter,6
63,Delivery man,Kyle,5
64,Cartman,Delivery man,7
65,Delivery man,Stan,4
66,Delivery man,Kenny,1
67,Blond,Mr. Garrison Sr.,24
68,Mr. Garrison Sr.,Patrons,16
69,Bartender,Mr. Garrison Sr.,16
70,Blond,Patrons,6
71,Bartender,Blond,6
72,Bartender,Patrons,4
73,Cartman,Chip,2
74,Chip,Stan,2
75,Chip,Coordinator,2
76,Mr. Mackey,Yoko Ono,1
77,Mr. Garrison,Yoko Ono,1
