,source,target,weight
0,Cartman,Liane,6
1,Cartman,Kenny,10
2,Cartman,Kyle,60
3,Cartman,Stan,26
4,Kenny,Kyle,10
5,Kenny,Stan,5
6,Kyle,Stan,26
7,Butters,Cartman,4
8,Cartman,Timmy,2
9,Butters,Kenny,1
10,Kenny,Timmy,1
11,Butters,Kyle,4
12,Kyle,Timmy,2
13,Butters,Stan,2
14,Stan,Timmy,1
15,Butters,Timmy,1
16,Gerald,Kyle,2
17,Cartman,Loogie,6
18,Kyle,Loogie,6
19,Loogie,Stan,3
20,Cartman,Chef,4
21,Boy,Cartman,2
22,Chef,Kyle,4
23,Boy,Kyle,2
24,Chef,Stan,2
25,Boy,Stan,1
26,Boy,Chef,2
27,Kenny,Loogie,1
28,Billy,Murphy,4
29,Billy,Cartman,4
30,Cartman,Murphy,2
31,Billy,Kyle,4
32,Kyle,Murphy,2
33,Billy,Stan,2
34,Murphy,Stan,1
35,Billy,Loogie,2
36,Loogie,Murphy,1
