,source,target,weight
0,Kyle,Stan,22
1,Kyle,Liane,4
2,Kyle,Randy,10
3,Kyle,Sharon,16
4,Kyle,Sheila,6
5,Liane,Stan,2
6,Randy,Stan,7
7,Sharon,Stan,9
8,Sheila,Stan,3
9,Liane,Randy,2
10,Liane,Sharon,2
11,Liane,Sheila,2
12,Randy,Sharon,8
13,Randy,Sheila,2
14,Sharon,Sheila,3
15,Cartman,Kyle,36
16,Cartman,Stan,18
17,Cartman,Liane,2
18,Cartman,Randy,6
19,Cartman,Sharon,12
20,Cartman,Sheila,4
21,Cartman,Kenny,8
22,Kenny,Kyle,8
23,Kenny,Stan,4
24,Kenny,Sharon,2
25,Kenny,Sheila,1
26,Carol,Kenny,2
27,Stan,Terrance,1
28,Randy,Terrance,1
