,source,target,weight
0,Cartman,Kenny,4
1,Cartman,Kyle,28
2,Cartman,Stan,14
3,Carol,Cartman,6
4,Cartman,Stuart,6
5,Kenny,Kyle,6
6,Kenny,Stan,3
7,Carol,Kenny,9
8,Kenny,Stuart,8
9,Kyle,Stan,18
10,Carol,Kyle,8
11,Kyle,Stuart,8
12,Carol,Stan,4
13,Stan,Stuart,4
14,Carol,Stuart,12
15,Cartman,Tony,2
16,Butters,Cartman,4
17,Cartman,Timmy,4
18,Butters,Kyle,4
19,Kyle,Timmy,6
20,Butters,Stan,2
21,Stan,Timmy,3
22,Butters,Timmy,2
23,Kenny,Mephesto,1
24,Kenny,Timmy,1
25,Kyle,Mephesto,2
26,Mephesto,Stan,1
27,Carol,Mephesto,1
28,Carol,Timmy,1
29,Mephesto,Stuart,1
30,Mephesto,Timmy,1
31,Stuart,Timmy,1
32,Cartman,Tolkien,2
33,Kyle,Tolkien,2
34,Stan,Tolkien,1
35,Butters,Tolkien,1
36,Timmy,Tolkien,1
37,Butters,Stuart,1
38,Carol,Nurse,2
39,Nurse,Stuart,2
