,source,target,weight
0,Kyle,Stan,7
1,Cartman,Stan,7
2,Kenny,Stan,4
3,Cartman,Kyle,8
4,Kenny,Kyle,5
5,Cartman,Kenny,5
6,Shelly,Stan,1
7,Randy,Stan,6
8,Sharon,Stan,1
9,Randy,Shelly,2
10,Sharon,Shelly,2
11,Randy,Sharon,2
12,Butters,Stan,1
13,Stan,Wendy,2
14,Ike,Stan,1
15,Butters,Kyle,1
16,Kyle,Wendy,2
17,Ike,Kyle,1
18,Butters,Cartman,1
19,Cartman,Wendy,2
20,Cartman,Ike,1
21,Butters,Kenny,1
22,Kenny,Wendy,2
23,Ike,Kenny,1
24,Butters,Wendy,1
25,Butters,Ike,1
26,Ike,Wendy,1
27,Bebe,Kyle,1
28,Kyle,Timmy,1
29,Bebe,Cartman,2
30,Cartman,Timmy,2
31,Bebe,Timmy,1
32,Bebe,Stan,1
33,Cartman,Randy,2
34,Bebe,Randy,1
35,Cartman,Liane,1
36,Liane,Timmy,1
37,Kyle,Randy,1
