,source,target,weight
0,Cartman,Kenny,10
1,Cartman,Stan,20
2,Kenny,Stan,6
3,Gary,Satan,1
4,Saddam,Satan,5
5,Cartman,Randy,4
6,Cartman,Sharon,2
7,Randy,Stan,1
8,Sharon,Stan,1
9,Randy,Sharon,1
10,Butters,Cartman,8
11,Butters,Kenny,3
12,Butters,Stan,4
13,Cartman,Kyle,8
14,Cartman,Timmy,4
15,Kenny,Kyle,4
16,Kenny,Timmy,2
17,Kyle,Stan,8
18,Butters,Kyle,2
19,Kyle,Timmy,4
20,Stan,Timmy,2
21,Butters,Timmy,1
22,Gerald,Kyle,2
23,Ike,Kyle,4
24,Kyle,Sheila,2
25,Gerald,Ike,1
26,Gerald,Sheila,1
27,Ike,Sheila,1
28,Ike,Stan,1
29,Cartman,Clyde,4
30,Cartman,Tolkien,2
31,Clyde,Kenny,2
32,Kenny,Tolkien,1
33,Clyde,Stan,2
34,Stan,Tolkien,1
35,Butters,Clyde,2
36,Butters,Tolkien,1
37,Clyde,Tolkien,2
38,Cartman,Heidi,2
39,Heidi,Stan,1
