,source,target,weight
0,Kyle,Sheila,2
1,Butters,Stan,2
2,Cartman,Stan,8
3,Kyle,Stan,6
4,Liane,Stan,2
5,Sharon,Stan,1
6,Cartman,Kyle,7
7,Kyle,Liane,1
8,Kyle,Sharon,1
9,Cartman,Liane,3
10,Cartman,Sharon,1
11,Liane,Sharon,1
12,Gerald,Stan,1
13,Sheila,Stan,1
14,Gerald,Kyle,1
15,Cartman,Gerald,1
16,Cartman,Sheila,1
17,Gerald,Sheila,1
18,Kenny,Stan,1
19,Kenny,Kyle,1
20,Cartman,Kenny,2
21,Cartman,Heidi,1
22,Butters,Kyle,2
23,Kyle,Timmy,1
24,Butters,Cartman,2
25,Cartman,Timmy,1
26,Butters,Timmy,1
27,Bebe,Stan,1
28,Bebe,Kyle,1
29,Bebe,Cartman,1
30,Bebe,Butters,1
