,source,target,weight
0,Kenny,Kyle,10
1,Kenny,Stan,5
2,Butters,Kenny,2
3,Kenny,Wendy,1
4,Kyle,Stan,22
5,Butters,Kyle,8
6,Kyle,Wendy,2
7,Butters,Stan,4
8,Stan,Wendy,1
9,Butters,Wendy,1
10,Cartman,Liane,8
11,Cartman,Terrance,2
12,Liane,Terrance,1
13,Bebe,Kyle,2
14,Bebe,Stan,1
15,Bebe,Butters,1
16,Cartman,Rick,12
17,Liane,Rick,1
18,Clyde,Kenny,2
19,Kenny,Kids,1
20,Kenny,Tolkien,1
21,Clyde,Kyle,4
22,Kids,Kyle,2
23,Kyle,Tolkien,2
24,Clyde,Stan,2
25,Kids,Stan,1
26,Stan,Tolkien,1
27,Butters,Clyde,2
28,Butters,Kids,1
29,Butters,Tolkien,1
30,Clyde,Kids,2
31,Clyde,Tolkien,2
32,Kids,Tolkien,1
33,Cartman,Kyle,4
34,Cartman,Stan,2
35,Cartman,Gerald,2
36,Gerald,Kyle,2
37,Kyle,Liane,2
38,Gerald,Stan,1
39,Liane,Stan,1
40,Gerald,Liane,1
41,Jesus,Kenny,1
42,Jesus,Kyle,2
43,Jesus,Stan,1
44,Chef,Kenny,2
45,Chef,Kyle,4
46,Chef,Stan,2
