,source,target,weight
0,Cartman,Mr. Wyland,49
1,Cartman,Stan,238
2,Cartman,Kenny,72
3,Cartman,Wendy,7
4,Cartman,The Class,7
5,Butters,Cartman,11
6,Mr. Wyland,Stan,42
7,Kenny,Mr. Wyland,7
8,Mr. Wyland,Wendy,7
9,Mr. Wyland,The Class,7
10,Butters,Mr. Wyland,7
11,Kenny,Stan,68
12,Stan,Wendy,6
13,Stan,The Class,6
14,Butters,Stan,30
15,Kenny,Wendy,1
16,Kenny,The Class,1
17,Butters,Kenny,4
18,The Class,Wendy,1
19,Butters,Wendy,1
20,Butters,The Class,1
21,Board Member,Mr. Garrison,14
22,Chairman,Mr. Garrison,28
23,Mr. Garrison,Principal Victoria,7
24,Board Member,Chairman,8
25,Board Member,Principal Victoria,2
26,Chairman,Principal Victoria,4
27,Sharon,Stan,55
28,Sharon,Sheila,54
29,Butters,Sharon,10
30,Kyle,Sharon,5
31,Sheila,Stan,42
32,Kyle,Stan,15
33,Butters,Sheila,10
34,Kyle,Sheila,5
35,Butters,Kyle,2
36,Mr. Garrison,Mr. Mackey,36
37,Miss Information,Sheila,39
38,Miss Information,Sharon,60
39,Miss Information,Stan,45
40,Blonde Mother,Miss Information,10
41,Blonde Mother,Sheila,6
42,Blonde Mother,Stan,6
43,Blonde Mother,Sharon,6
44,Blonde Mother,Other mothers,2
45,Miss Information,Other mothers,5
46,Other mothers,Sheila,3
47,Other mothers,Stan,3
48,Other mothers,Sharon,3
49,Dr. Doctor,Stan,36
50,Cartman,Liane,48
51,Cartman,Kyle,16
52,Kenny,Liane,12
53,Kenny,Kyle,4
54,Liane,Stan,33
55,Kyle,Liane,3
56,Carlos Ramirez,Miss Information,39
57,Chief Running Pinto,Miss Information,45
58,Carlos Ramirez,Chief Running Pinto,45
59,Carlos Ramirez,Sharon,30
60,Carlos Ramirez,Sheila,18
61,Carlos Ramirez,Stan,16
62,Chief Running Pinto,Sharon,35
63,Chief Running Pinto,Sheila,20
64,Chief Running Pinto,Stan,20
65,Stan,Timmy,16
66,Kenny,Timmy,4
67,Butters,Timmy,5
68,Cartman,Timmy,3
69,Mr. Garrison,Publisher,64
70,Kenny,Mover,2
71,Mover,Stan,2
72,Chief Running Pinto,Customers,10
73,Chief Running Pinto,Gerald,5
74,Carlos Ramirez,Customers,10
75,Carlos Ramirez,Gerald,5
76,Customers,Miss Information,6
77,Gerald,Miss Information,3
78,Customers,Sheila,4
79,Gerald,Sheila,2
80,Customers,Sharon,4
81,Customers,Gerald,2
82,Gerald,Sharon,2
83,Cartman,Dr. Doctor,9
