,source,target,weight
0,Kyle,Wendy,29
1,Kyle,Stan,39
2,Kyle,Timmy,68
3,Cartman,Kyle,99
4,Bebe,Kyle,17
5,Butters,Kyle,20
6,Clyde,Kyle,27
7,Kyle,Tolkien,11
8,Kids,Kyle,27
9,Stan,Wendy,26
10,Timmy,Wendy,15
11,Cartman,Wendy,40
12,Bebe,Wendy,10
13,Butters,Wendy,14
14,Clyde,Wendy,13
15,Tolkien,Wendy,6
16,Kids,Wendy,13
17,Stan,Timmy,20
18,Cartman,Stan,52
19,Bebe,Stan,12
20,Butters,Stan,17
21,Clyde,Stan,16
22,Stan,Tolkien,7
23,Kids,Stan,15
24,Cartman,Timmy,89
25,Bebe,Timmy,15
26,Butters,Timmy,11
27,Clyde,Timmy,26
28,Timmy,Tolkien,6
29,Kids,Timmy,17
30,Bebe,Cartman,34
31,Butters,Cartman,30
32,Cartman,Clyde,67
33,Cartman,Tolkien,16
34,Cartman,Kids,39
35,Bebe,Butters,10
36,Bebe,Clyde,12
37,Bebe,Tolkien,4
38,Bebe,Kids,9
39,Butters,Clyde,11
40,Butters,Tolkien,5
41,Butters,Kids,10
42,Clyde,Tolkien,4
43,Clyde,Kids,8
44,Kids,Tolkien,7
45,Kyle,Rancher,42
46,Rancher,Timmy,24
47,Cartman,Liane,9
48,Actors,Cartman,10
49,Cartman,Jeffrey,42
50,Cartman,Lamond,78
51,Cartman,Others,10
52,Actors,Clyde,4
53,Clyde,Jeffrey,7
54,Clyde,Lamond,20
55,Clyde,Others,4
56,Actors,Jeffrey,1
57,Actors,Lamond,5
58,Actors,Others,1
59,Actors,Bebe,1
60,Actors,Timmy,4
61,Actors,Kyle,2
62,Jeffrey,Lamond,9
63,Jeffrey,Others,1
64,Bebe,Jeffrey,9
65,Jeffrey,Timmy,13
66,Jeffrey,Kyle,8
67,Lamond,Others,5
68,Bebe,Lamond,7
69,Lamond,Timmy,59
70,Kyle,Lamond,14
71,Bebe,Others,1
72,Others,Timmy,4
73,Kyle,Others,2
74,Jeffrey,Kids,8
75,Jeffrey,Stan,3
76,Butters,Jeffrey,6
77,Jeffrey,Wendy,3
78,Jeffrey,Tolkien,3
79,Installer,Lamond,13
80,Installer,Timmy,12
81,Boy,Timmy,2
82,Father,Timmy,1
83,Elderly man,Timmy,1
84,Heidi,Timmy,1
85,Kelly,Timmy,1
86,Lady,Timmy,1
87,Boy,Father,2
88,Boy,Elderly man,2
89,Boy,Heidi,2
90,Boy,Kelly,2
91,Boy,Lady,2
92,Elderly man,Father,1
93,Father,Heidi,1
94,Father,Kelly,1
95,Father,Lady,1
96,Elderly man,Heidi,1
97,Elderly man,Kelly,1
98,Elderly man,Lady,1
99,Heidi,Kelly,1
100,Heidi,Lady,1
101,Kelly,Lady,1
102,Sharon,Sheila,3
103,Gerald,Sheila,4
104,Randy,Sheila,2
105,Gerald,Sharon,2
106,Randy,Sharon,1
107,Gerald,Randy,2
108,Lamond,Stan,2
109,Mr. Mackey,Principal Victoria,2
110,Mr. Garrison,Mr. Mackey,1
111,Kids,Mr. Mackey,1
112,Mr. Mackey,Sheila,1
113,Mr. Mackey,Sharon,1
114,Mr. Garrison,Principal Victoria,2
115,Kids,Principal Victoria,3
116,Principal Victoria,Sheila,2
117,Principal Victoria,Sharon,2
118,Kids,Mr. Garrison,1
119,Mr. Garrison,Sheila,1
120,Mr. Garrison,Sharon,1
121,Kids,Sheila,1
122,Kids,Sharon,1
123,Cartman,Installer,2
124,Jeffrey,Principal Victoria,3
125,Cartman,Principal Victoria,3
126,Jimbo,Timmy,9
127,Jeffrey,Jimbo,2
128,Bebe,Jimbo,1
129,Bebe,Principal Victoria,1
130,Kids,Lamond,2
131,Jimbo,Kids,1
132,Jimbo,Lamond,2
133,Lamond,Principal Victoria,2
134,Principal Victoria,Timmy,3
135,Cartman,Jimbo,2
136,Jimbo,Kyle,1
137,Jimbo,Principal Victoria,1
138,Kyle,Principal Victoria,1
