,source,target,weight
0,Ike,Kyle,3
1,Ike,Sheila,2
2,Kyle,Sheila,6
3,Kyle,Stan,238
4,Cartman,Stan,82
5,Cartman,Kyle,113
6,Kyle,Mr. Hankey,108
7,Autumn,Kyle,29
8,Cornwallis,Kyle,6
9,Amber,Kyle,9
10,Kyle,Simon,6
11,Kyle,Siimon,6
12,Cartman,Mr. Hankey,62
13,Autumn,Cartman,18
14,Cartman,Cornwallis,4
15,Amber,Cartman,4
16,Cartman,Simon,4
17,Cartman,Siimon,4
18,Autumn,Mr. Hankey,109
19,Cornwallis,Mr. Hankey,102
20,Amber,Mr. Hankey,25
21,Mr. Hankey,Simon,14
22,Mr. Hankey,Siimon,14
23,Mr. Hankey,Stan,18
24,Autumn,Cornwallis,31
25,Amber,Autumn,8
26,Autumn,Simon,4
27,Autumn,Siimon,4
28,Autumn,Stan,6
29,Amber,Cornwallis,2
30,Cornwallis,Simon,1
31,Cornwallis,Siimon,1
32,Cornwallis,Stan,1
33,Amber,Simon,1
34,Amber,Siimon,1
35,Amber,Stan,1
36,Siimon,Simon,1
37,Simon,Stan,1
38,Siimon,Stan,1
39,Stan,Tele's Owner,2
40,Red,Stan,2
41,Red,Tele's Owner,1
42,Ms. Choksondik,News anchor,2
43,Assistant,Ms. Choksondik,1
44,Assistant,News anchor,2
45,Cartman,Charlie Brown,4
46,Charlie Brown,Stan,5
47,Charlie,Charlie Brown,1
48,Charlie Brown,Kyle,4
49,Charlie Brown,Kenny,1
50,Cartman,Charlie,4
51,Cartman,Kenny,4
52,Charlie,Stan,5
53,Kenny,Stan,5
54,Charlie,Kyle,4
55,Charlie,Kenny,1
56,Kenny,Kyle,4
57,Kyle,Mayor,32
58,Mayor,Stan,13
59,Mayor,The Boys,8
60,Kyle,The Boys,6
61,Stan,The Boys,2
62,Kyle,The Nuggets,3
63,Mr. Hankey,The Nuggets,4
64,Autumn,The Nuggets,1
65,Amber,The Nuggets,1
66,Butters,Stan,12
67,Butters,The boys,4
68,Butters,Cartman,12
69,Butters,Kyle,12
70,Stan,The boys,15
71,Cartman,The boys,11
72,Kyle,The boys,19
73,Kyle,Sound man,56
74,Cartman,Sound man,28
75,Sound man,The boys,14
76,Sound man,Stan,42
77,Johnson,Mayor,6
78,Johnson,Mr. Hankey,21
79,Autumn,Johnson,9
80,Cornwallis,Johnson,3
81,Amber,Johnson,3
82,Mayor,Mr. Hankey,24
83,Autumn,Mayor,9
84,Cornwallis,Mayor,2
85,Amber,Mayor,2
86,Cartman,Mayor,11
87,Aide,Mayor,3
88,Aide,Mr. Hankey,2
89,Aide,Kyle,4
90,Aide,Stan,1
91,Aide,Cartman,1
92,Jesus,Santa,2
93,Mr. Mackey,Randy,1
94,Mayor,Mr. Mackey,3
95,Mr. Mackey,Ms. Choksondik,1
96,Kyle,Mr. Mackey,2
97,Mr. Hankey,Mr. Mackey,1
98,Autumn,Mr. Mackey,1
99,Mr. Mackey,Stan,2
100,Cartman,Mr. Mackey,2
101,Mayor,Randy,3
102,Ms. Choksondik,Randy,1
103,Kyle,Randy,2
104,Mr. Hankey,Randy,1
105,Autumn,Randy,1
106,Randy,Stan,2
107,Cartman,Randy,2
108,Mayor,Ms. Choksondik,3
109,Kyle,Ms. Choksondik,2
110,Mr. Hankey,Ms. Choksondik,1
111,Autumn,Ms. Choksondik,1
112,Ms. Choksondik,Stan,2
113,Cartman,Ms. Choksondik,2
