,source,target,weight
0,Kyle,Stan,9
1,Cartman,Stan,8
2,Cartman,Kyle,8
3,Kenny,Stan,2
4,Kenny,Kyle,2
5,Cartman,Kenny,2
6,Stan,Stephen,1
7,Randy,Stan,2
8,Sharon,Stan,3
9,Randy,Stephen,1
10,Sharon,Stephen,1
11,Randy,Sharon,2
12,Sharon,Stuart,1
13,Sheila,Stuart,1
14,Sharon,Sheila,2
15,Bebe,Wendy,3
16,Butters,Stan,4
17,Stan,Wendy,3
18,Bebe,Stan,2
19,Butters,Kyle,4
20,Kyle,Wendy,3
21,Bebe,Kyle,2
22,Butters,Cartman,4
23,Cartman,Wendy,3
24,Bebe,Cartman,2
25,Butters,Wendy,2
26,Bebe,Butters,2
27,Stan,Timmy,1
28,Stan,Tweek,1
29,Kyle,Timmy,1
30,Kyle,Tweek,1
31,Cartman,Timmy,1
32,Cartman,Tweek,1
33,Butters,Timmy,1
34,Butters,Tweek,1
35,Timmy,Tweek,1
36,Butters,Kenny,1
37,Kenny,Wendy,1
38,Bebe,Kenny,1
39,Gerald,Stan,1
40,Sheila,Stan,1
41,Kyle,Sharon,1
42,Gerald,Kyle,1
43,Kyle,Sheila,1
44,Cartman,Sharon,1
45,Cartman,Gerald,1
46,Cartman,Sheila,1
47,Sharon,Wendy,1
48,Gerald,Wendy,1
49,Sheila,Wendy,1
50,Gerald,Sharon,1
51,Gerald,Sheila,1
