,source,target,weight
0,Kyle,Stan,4
1,Cartman,Stan,4
2,Butters,Stan,2
3,Stan,Tolkien,4
4,Cartman,Kyle,4
5,Butters,Kyle,2
6,Kyle,Tolkien,4
7,Butters,Cartman,2
8,Cartman,Tolkien,4
9,Butters,Tolkien,2
10,Linda,Tolkien,2
11,Liane,Tolkien,1
12,Liane,Linda,1
13,Liane,Randy,1
14,Liane,Sharon,1
15,Liane,Sheila,1
16,Randy,Tolkien,1
17,Sharon,Tolkien,1
18,Sheila,Tolkien,1
19,Linda,Randy,1
20,Linda,Sharon,1
21,Linda,Sheila,1
22,Randy,Sharon,1
23,Randy,Sheila,1
24,Sharon,Sheila,1
25,Jimbo,Ned,2
26,Gerald,Jimbo,2
27,Gerald,Ned,1
28,Kenny,Stan,1
29,Kenny,Kyle,1
30,Cartman,Kenny,1
31,Kenny,Tolkien,1
32,Jimbo,Randy,1
33,Gerald,Randy,1
