,source,target,weight
0,Doctor,Nurse,4
1,Kenny,Kyle,8
2,Kenny,Stan,3
3,Butters,Kenny,1
4,Kyle,Stan,20
5,Butters,Kyle,2
6,Butters,Stan,1
7,Cartman,Kenny,6
8,Cartman,Kyle,24
9,Cartman,Stan,10
10,Cartman,Larry,12
11,Chef,Kyle,8
12,Gerald,Kyle,2
13,Kyle,Randy,2
14,Kyle,Sharon,2
15,Chef,Stan,4
16,Gerald,Stan,1
17,Randy,Stan,1
18,Sharon,Stan,1
19,Chef,Gerald,2
20,Chef,Randy,2
21,Chef,Sharon,2
22,Gerald,Randy,1
23,Gerald,Sharon,1
24,Randy,Sharon,1
25,Butters,Cartman,2
26,Cartman,Liane,2
27,Butters,Liane,1
28,Cartman,Sheila,2
29,Kyle,Sheila,2
30,Sheila,Stan,1
31,Cartman,Doctor,2
32,Cartman,Nurse,8
33,Doctor,Kenny,1
34,Kenny,Nurse,6
35,Doctor,Kyle,2
36,Kyle,Nurse,8
37,Doctor,Stan,1
38,Nurse,Stan,2
39,Chef,Kenny,2
40,Kenny,Laura,1
41,Kyle,Laura,2
42,Chef,Laura,2
43,Chef,Nurse,4
44,Laura,Nurse,2
