,source,target,weight
0,Chris,Linda,251
1,Butters,Chris,215
2,Butters,Linda,265
3,Attendant,Butters,1
4,Butters,Mr. Garrison,2
5,Butters,Mr. Slave,4
6,Chris,Mr. Slave,4
7,Linda,News 4 Reporter,3
8,Barbrady,Butters,12
9,Barbrady,Police chief,4
10,Barbrady,John Ramsey,12
11,Barbrady,Patsy Ramsey,12
12,Barbrady,Linda,4
13,Barbrady,Chris,4
14,Barbrady,The Ramseys,4
15,Butters,Police chief,3
16,Butters,John Ramsey,9
17,Butters,Patsy Ramsey,9
18,Butters,The Ramseys,3
19,John Ramsey,Police chief,3
20,Patsy Ramsey,Police chief,3
21,Linda,Police chief,1
22,Chris,Police chief,1
23,Police chief,The Ramseys,1
24,John Ramsey,Patsy Ramsey,29
25,John Ramsey,Linda,11
26,Chris,John Ramsey,11
27,John Ramsey,The Ramseys,3
28,Linda,Patsy Ramsey,13
29,Chris,Patsy Ramsey,13
30,Patsy Ramsey,The Ramseys,3
31,Linda,The Ramseys,1
32,Chris,The Ramseys,1
33,Butters,Mechanic,30
34,A Politician,Chris,2
35,Chris,Gary Condit,10
36,Chris,O.J. Simpson,8
37,A Politician,Patsy Ramsey,5
38,Gary Condit,Patsy Ramsey,25
39,O.J. Simpson,Patsy Ramsey,20
40,A Politician,Linda,2
41,Gary Condit,Linda,10
42,Linda,O.J. Simpson,8
43,A Politician,John Ramsey,4
44,Gary Condit,John Ramsey,20
45,John Ramsey,O.J. Simpson,16
46,A Politician,Gary Condit,5
47,A Politician,O.J. Simpson,4
48,Gary Condit,O.J. Simpson,20
