,source,target,weight
0,Kyle,Stan,15
1,Cartman,Stan,11
2,Stan,Tuong Lu Kim,5
3,Cartman,Kyle,12
4,Kyle,Tuong Lu Kim,5
5,Cartman,Tuong Lu Kim,3
6,Butters,Stan,11
7,Butters,Kyle,11
8,Butters,Cartman,12
9,Butters,Tuong Lu Kim,2
10,Kyle,Randy,2
11,Cartman,Randy,1
12,Chef,Stan,3
13,Chef,Kyle,3
14,Cartman,Chef,2
15,Butters,Chef,2
16,Stan,Stephen,1
17,Linda,Stan,1
18,Kyle,Stephen,1
19,Kyle,Linda,1
20,Cartman,Stephen,3
21,Cartman,Linda,3
22,Butters,Stephen,2
23,Butters,Linda,2
24,Linda,Stephen,2
25,Chef,Jimbo,2
26,Jimbo,Stan,1
27,Randy,Stan,1
28,Gerald,Stan,1
29,Jimbo,Kyle,1
30,Gerald,Kyle,1
31,Jimbo,Randy,1
32,Gerald,Jimbo,1
33,Chef,Randy,1
34,Chef,Gerald,1
35,Gerald,Randy,1
