,source,target,weight
0,Cartman,Kyle,56
1,Cartman,Stan,28
2,Butters,Cartman,24
3,Cartman,Kids,2
4,Kyle,Stan,32
5,Butters,Kyle,32
6,Kids,Kyle,2
7,Butters,Stan,16
8,Kids,Stan,1
9,Butters,Kids,1
10,Kyle,Randy,6
11,Kyle,Sharon,4
12,Randy,Stan,4
13,Sharon,Stan,3
14,Butters,Randy,3
15,Butters,Sharon,2
16,Randy,Sharon,4
17,Cartman,Sharon,4
18,Cartman,Sheila,4
19,Cartman,Stephen,8
20,Kyle,Sheila,4
21,Kyle,Stephen,8
22,Sheila,Stan,2
23,Stan,Stephen,4
24,Butters,Sheila,2
25,Butters,Stephen,4
26,Sharon,Sheila,3
27,Sharon,Stephen,2
28,Sheila,Stephen,4
29,Liane,Randy,1
30,Liane,Sharon,2
31,Liane,Sheila,2
32,Randy,Sheila,2
33,Kyle,Thomas,4
34,Stan,Thomas,2
35,Butters,Thomas,2
36,Randy,Thomas,2
37,Cartman,Hippies,4
38,Hippies,Kyle,2
39,Hippies,Stan,1
40,Butters,Hippies,1
41,Cartman,Randy,4
42,Boys,Cartman,2
43,Cartman,Gerald,2
44,Gerald,Kyle,2
45,Gerald,Stan,1
46,Butters,Gerald,1
47,Gerald,Randy,1
48,Gerald,Sheila,1
49,Gerald,Stephen,2
50,Randy,Stephen,2
