,source,target,weight
0,Randy,Stan,4
1,Linda,Randy,8
2,Linda,Richard,32
3,Randy,Richard,24
4,Cartman,Stan,10
5,Cartman,Tweek,6
6,Stan,Tweek,3
7,Randy,Sharon,4
8,Randy,Stephen,4
9,Randy,Stuart,1
10,Richard,Sharon,8
11,Richard,Stephen,16
12,Richard,Stuart,4
13,Sharon,Stephen,2
14,Sharon,Stuart,1
15,Stephen,Stuart,2
16,Butters,Cartman,2
17,Boys,Cartman,2
18,Butters,Stan,1
19,Boys,Stan,1
20,Boys,Butters,1
21,Linda,Stephen,4
22,Linda,Thomas,4
23,Randy,Thomas,2
24,Richard,Thomas,8
25,Stephen,Thomas,4
26,Cartman,Kyle,20
27,Cartman,Chef,4
28,Cartman,Randy,4
29,Cartman,Richard,16
30,Kyle,Stan,6
31,Chef,Kyle,4
32,Kyle,Randy,4
33,Kyle,Richard,16
34,Kyle,Tweek,4
35,Chef,Stan,2
36,Richard,Stan,4
37,Chef,Randy,2
38,Chef,Richard,8
39,Chef,Tweek,2
40,Randy,Tweek,1
41,Richard,Tweek,4
42,Cartman,Craig,2
43,Craig,Kyle,2
44,Craig,Stan,1
45,Sharon,Stan,2
46,Linda,Sharon,2
47,Cartman,Linda,4
48,Kyle,Linda,4
