,source,target,weight
0,Kyle,Stan,8
1,Liane,Stan,1
2,Stan,Tweek,2
3,Kyle,Liane,1
4,Kyle,Tweek,2
5,Liane,Tweek,1
6,Cartman,Liane,1
7,Cartman,Stan,8
8,Butters,Stan,6
9,Stan,Tolkien,5
10,Stan,Wendy,4
11,Bebe,Stan,9
12,Cartman,Kyle,6
13,Butters,Kyle,5
14,Kyle,Tolkien,4
15,Kyle,Wendy,4
16,Bebe,Kyle,6
17,Butters,Cartman,6
18,Cartman,Tolkien,5
19,Cartman,Wendy,4
20,Bebe,Cartman,7
21,Butters,Tolkien,6
22,Butters,Wendy,5
23,Bebe,Butters,6
24,Tolkien,Wendy,5
25,Bebe,Tolkien,5
26,Bebe,Wendy,5
27,Jimbo,Stan,1
28,Jimbo,Kyle,1
29,Cartman,Jimbo,1
30,Butters,Jimbo,1
31,Jimbo,Tolkien,1
32,Bebe,Jimbo,1
33,Cartman,Tweek,1
34,Stan,Timmy,1
35,Kyle,Timmy,1
36,Randy,Stan,1
37,Sharon,Stan,1
38,Randy,Sharon,1
