,source,target,weight
0,Richard,Tweek,12
1,Cartman,Kyle,12
2,Cartman,Stan,6
3,Cartman,Tweek,6
4,Kyle,Stan,10
5,Kyle,Tweek,4
6,Stan,Tweek,2
7,Detective,Liane,1
8,Detective,Richard,4
9,Detective,Sharon,1
10,Detective,Sheila,1
11,Detective,Steve,3
12,Detective,Tweek,1
13,Liane,Richard,8
14,Liane,Sharon,2
15,Liane,Sheila,2
16,Liane,Steve,3
17,Liane,Tweek,1
18,Richard,Sharon,16
19,Richard,Sheila,16
20,Richard,Steve,12
21,Sharon,Sheila,4
22,Sharon,Steve,3
23,Sharon,Tweek,1
24,Sheila,Steve,3
25,Sheila,Tweek,1
26,Steve,Tweek,3
27,Gerald,Jimbo,2
28,Gerald,Randy,4
29,Gerald,Richard,8
30,Gerald,Sheila,2
31,Jimbo,Randy,3
32,Jimbo,Richard,12
33,Jimbo,Sheila,1
34,Randy,Richard,16
35,Randy,Sheila,3
36,Gerald,Sharon,3
37,Gerald,Tuong Lu Kim,1
38,Randy,Sharon,7
39,Randy,Tuong Lu Kim,2
40,Sharon,Tuong Lu Kim,2
41,Randy,Stan,6
42,Sharon,Stan,6
43,Jimbo,Kyle,4
44,Kyle,Randy,6
45,Kyle,Richard,32
46,Jimbo,Stan,2
47,Richard,Stan,16
48,Gerald,Kyle,2
49,Kyle,Sharon,6
50,Kyle,Tom,8
51,Gerald,Stan,2
52,Stan,Tom,4
53,Gerald,Tom,4
54,Jimbo,Sharon,1
55,Jimbo,Tom,4
56,Randy,Tom,4
57,Richard,Tom,16
58,Sharon,Tom,4
59,Cartman,Richard,8
60,Cartman,Sharon,2
61,Cartman,Sheila,2
62,Kyle,Sheila,4
63,Sheila,Stan,3
64,Richard,Stephen,16
65,Linda,Stan,2
66,Gerald,Linda,2
67,Linda,Randy,2
68,Linda,Sharon,2
69,Linda,Sheila,2
70,Butters,Kyle,2
71,Kyle,Liane,2
72,Kyle,Stephen,4
73,Kyle,Tuong Lu Kim,2
74,Butters,Stan,1
75,Liane,Stan,1
76,Stan,Stephen,2
77,Stan,Tuong Lu Kim,1
78,Butters,Liane,1
79,Butters,Randy,1
80,Butters,Richard,4
81,Butters,Sharon,1
82,Butters,Sheila,1
83,Butters,Stephen,2
84,Butters,Tuong Lu Kim,1
85,Liane,Randy,1
86,Liane,Stephen,2
87,Liane,Tuong Lu Kim,1
88,Randy,Stephen,2
89,Richard,Tuong Lu Kim,4
90,Sharon,Stephen,2
91,Sheila,Stephen,2
92,Sheila,Tuong Lu Kim,1
93,Stephen,Tuong Lu Kim,2
