,source,target,weight
0,Cartman,Kyle,12
1,Cartman,Stan,6
2,Butters,Cartman,4
3,Cartman,Kids,2
4,Kyle,Stan,10
5,Butters,Kyle,6
6,Kids,Kyle,2
7,Butters,Stan,5
8,Kids,Stan,1
9,Butters,Kids,1
10,Gerald,Kyle,2
11,Kyle,Linda,4
12,Kyle,Randy,4
13,Kyle,Sharon,2
14,Kyle,Sheila,2
15,Kyle,Stephen,4
16,Gerald,Stan,2
17,Linda,Stan,2
18,Randy,Stan,4
19,Sharon,Stan,3
20,Sheila,Stan,2
21,Stan,Stephen,6
22,Gerald,Linda,2
23,Gerald,Randy,4
24,Gerald,Sharon,3
25,Gerald,Sheila,1
26,Gerald,Stephen,4
27,Linda,Randy,2
28,Linda,Sharon,2
29,Linda,Sheila,2
30,Linda,Stephen,4
31,Randy,Sharon,4
32,Randy,Sheila,3
33,Randy,Stephen,8
34,Sharon,Sheila,2
35,Sharon,Stephen,6
36,Sheila,Stephen,6
37,Cartman,Randy,2
38,Butters,Randy,2
39,Richard,Stan,4
40,Gerald,Richard,4
41,Randy,Richard,4
42,Richard,Sharon,4
43,Richard,Stephen,8
44,Cartman,Chef,4
45,Chef,Kyle,4
46,Chef,Stan,2
47,Liane,Stan,1
48,Butters,Liane,1
49,Butters,Sharon,1
50,Butters,Sheila,1
51,Butters,Stephen,2
52,Liane,Randy,1
53,Liane,Sharon,1
54,Liane,Sheila,1
55,Liane,Stephen,2
