,source,target,weight
0,Cartman,Kyle,40
1,Cartman,Jimbo,4
2,Cartman,Jimmy,4
3,Jimbo,Kyle,4
4,Jimmy,Kyle,4
5,Jimbo,Jimmy,2
6,Cartman,Stan,16
7,Kyle,Stan,16
8,Cartman,Santa,8
9,Kyle,Santa,10
10,Santa,Stan,5
11,Cartman,Jesus,4
12,Jesus,Kyle,4
13,Jesus,Stan,3
14,Jesus,Santa,2
15,Cartman,Kenny,2
16,Cartman,Randy,2
17,Cartman,Sheila,2
18,Kenny,Kyle,2
19,Kenny,Stan,1
20,Jimbo,Kenny,1
21,Jimmy,Kenny,1
22,Kenny,Randy,1
23,Kenny,Santa,1
24,Kenny,Sheila,1
25,Kyle,Randy,2
26,Kyle,Sheila,2
27,Jimbo,Stan,1
28,Jimmy,Stan,1
29,Randy,Stan,1
30,Sheila,Stan,1
31,Jimbo,Randy,1
32,Jimbo,Santa,1
33,Jimbo,Sheila,1
34,Jimmy,Randy,1
35,Jimmy,Santa,1
36,Jimmy,Sheila,1
37,Randy,Santa,1
38,Randy,Sheila,1
39,Santa,Sheila,1
