,source,target,weight
0,Linda,Sheila,3
1,Sheila,Stephen,18
2,Randy,Sheila,14
3,Linda,Stephen,7
4,Linda,Randy,5
5,Randy,Stephen,27
6,Cartman,Stan,30
7,Kyle,Stan,35
8,Cartman,Kyle,10
9,Gerald,Stephen,18
10,Gerald,Randy,26
11,Gerald,Sheila,9
12,Butters,Gerald,1
13,Butters,Stephen,7
14,Butters,Randy,4
15,Butters,Sheila,4
16,Stan,Stephen,4
17,Phil,Stephen,19
18,Stephen,The parents,2
19,Josh,Stephen,20
20,Phil,Stan,1
21,Stan,The parents,1
22,Josh,Stan,2
23,Sheila,Stan,2
24,Phil,The parents,7
25,Josh,Phil,66
26,Phil,Sheila,12
27,Josh,The parents,5
28,Sheila,The parents,2
29,Josh,Sheila,11
30,Butters,Kyle,5
31,Butters,Cartman,13
32,Butters,Stan,22
33,Josh,Randy,37
34,Randy,The Boys,1
35,Randy,Stan,1
36,Cartman,Randy,1
37,Josh,The Boys,1
38,Butters,Josh,2
39,Cartman,Josh,1
40,Stephen,The Boys,2
41,Cartman,Stephen,2
42,Sheila,The Boys,1
43,Cartman,Sheila,1
44,Butters,The Boys,2
45,Stan,The Boys,1
46,Cartman,The Boys,1
47,Cartman,Thumper,14
48,Cartman,Ike,4
49,Butters,Thumper,21
50,Ike,Thumper,14
51,Kyle,Thumper,7
52,Butters,Ike,6
53,Ike,Kyle,2
54,Gerald,Josh,29
55,Gerald,Phil,36
56,Gerald,The parents,2
57,Phil,Randy,46
58,Randy,The parents,3
59,Cartman,Tad,16
60,Cartman,Skier,1
61,Cartman,Tad's friends,1
62,Stan,Tad,162
63,Skier,Tad,8
64,Tad,Tad's friends,13
65,Skier,Stan,5
66,Stan,Tad's friends,11
67,Skier,Tad's friends,1
68,Josh,Sharon,5
69,Gerald,Sharon,3
70,Phil,Sharon,5
71,Sharon,Sheila,1
72,Sharon,Stephen,3
73,Randy,Sharon,3
74,Kyle,Tad,13
75,Heather,Kyle,2
76,Kyle,Tad's friends,1
77,Heather,Stan,12
78,Heather,Tad,10
79,Heather,Tad's friends,2
80,Butters,Tad,14
81,A skier,Tad,3
82,Tad,Teen girl,14
83,A skier,Stan,4
84,Stan,Teen girl,18
85,A skier,Butters,2
86,Butters,Teen girl,5
87,A skier,Teen girl,2
88,Lift Operator,Randy,4
89,Gerald,Lift Operator,4
90,Gerald,Linda,3
91,Lift Operator,Stephen,6
92,Lift Operator,Sheila,2
93,Lift Operator,Linda,2
94,Announcer,Stan,10
95,Stan,The ladies,10
96,Stan,Teen Boy,10
97,Stan,Teens,10
98,A teen boy,Stan,10
99,Announcer,Kyle,1
100,Kyle,The ladies,1
101,Kyle,Teen Boy,1
102,Kyle,Teens,1
103,Kyle,Teen girl,1
104,A teen boy,Kyle,1
105,Announcer,Butters,1
106,Butters,The ladies,1
107,Butters,Teen Boy,1
108,Butters,Teens,1
109,A teen boy,Butters,1
110,Announcer,Cartman,1
111,Cartman,The ladies,1
112,Cartman,Teen Boy,1
113,Cartman,Teens,1
114,Cartman,Teen girl,1
115,A teen boy,Cartman,1
116,Announcer,Tad,8
117,Announcer,The ladies,1
118,Announcer,Teen Boy,1
119,Announcer,Teens,1
120,Announcer,Teen girl,1
121,A teen boy,Announcer,1
122,Tad,The ladies,8
123,Tad,Teen Boy,8
124,Tad,Teens,8
125,A teen boy,Tad,8
126,Teen Boy,The ladies,1
127,Teens,The ladies,1
128,Teen girl,The ladies,1
129,A teen boy,The ladies,1
130,Teen Boy,Teens,1
131,Teen Boy,Teen girl,1
132,A teen boy,Teen Boy,1
133,Teen girl,Teens,1
134,A teen boy,Teens,1
135,A teen boy,Teen girl,1
136,Mechanic,Stan,10
137,Kyle,Mechanic,6
138,Parents,Stephen,1
139,Parents,Randy,2
140,Parents,Phil,2
141,Josh,Parents,1
142,Stan,Thumper,2
143,Phil,Thin cop,10
144,Fat cop,Phil,5
145,Linda,Phil,5
146,Fat cop,Thin cop,2
147,Randy,Thin cop,2
148,Linda,Thin cop,2
149,Gerald,Thin cop,2
150,Josh,Thin cop,4
151,Fat cop,Randy,1
152,Fat cop,Linda,1
153,Fat cop,Gerald,1
154,Fat cop,Josh,2
155,Josh,Linda,2
