,source,target,weight
0,Cartman,Kyle,20
1,Cartman,Stan,10
2,Cartman,Randy,4
3,Cartman,Skeeter,4
4,Cartman,Stuart,4
5,Cartman,Tom,8
6,Kyle,Stan,18
7,Kyle,Randy,10
8,Kyle,Skeeter,10
9,Kyle,Stuart,8
10,Kyle,Tom,16
11,Randy,Stan,5
12,Skeeter,Stan,5
13,Stan,Stuart,4
14,Stan,Tom,8
15,Randy,Skeeter,8
16,Randy,Stuart,6
17,Randy,Tom,8
18,Skeeter,Stuart,6
19,Skeeter,Tom,8
20,Stuart,Tom,4
21,Cartman,Kenny,2
22,Kenny,Kyle,4
23,Kenny,Stan,2
24,Gerald,Jimbo,2
25,Gerald,Randy,4
26,Gerald,Skeeter,4
27,Gerald,Stuart,4
28,Jimbo,Randy,3
29,Jimbo,Skeeter,3
30,Jimbo,Stuart,2
31,Kyle,Liane,2
32,Liane,Stan,1
33,Gerald,Kenny,1
34,Kenny,Randy,1
35,Kenny,Skeeter,1
36,Kenny,Stuart,1
37,Gerald,Kyle,4
38,Gerald,Stan,2
39,Adams,Cartman,6
40,Kyle,Sharon,2
41,Sharon,Stan,1
42,Randy,Sharon,1
43,Sharon,Skeeter,1
44,Sharon,Tom,4
45,Cartman,Gerald,2
