,source,target,weight
0,Cartman,Stan,4
1,Randy,Stan,9
2,Sharon,Stan,1
3,Gerald,Stan,2
4,Sheila,Stan,2
5,Cartman,Randy,3
6,Cartman,Sharon,2
7,Cartman,Gerald,2
8,Cartman,Sheila,2
9,Randy,Sharon,2
10,Gerald,Randy,4
11,Randy,Sheila,3
12,Gerald,Sharon,2
13,Sharon,Sheila,2
14,Gerald,Sheila,2
15,Cartman,Kyle,3
16,Kyle,Randy,6
17,Kyle,Sharon,1
18,Gerald,Kyle,2
19,Kyle,Sheila,2
20,Chef,Jimbo,2
21,Jimbo,Randy,4
22,Chef,Randy,3
23,Kyle,Stan,7
24,Butters,Stan,2
25,Butters,Kyle,2
26,Butters,Cartman,2
27,Jimbo,Stan,3
28,Chef,Stan,2
29,Jimbo,Kyle,3
30,Chef,Kyle,1
31,Jimbo,Sheila,1
32,Chef,Sheila,1
33,Gerald,Jimbo,1
34,Kenny,Stan,1
35,Cartman,Kenny,1
36,Cartman,Chef,1
37,Chef,Kenny,1
38,Kenny,Randy,1
