,source,target,weight
0,Cartman,Kyle,48
1,Cartman,Stan,14
2,Cartman,Vernon,2
3,Kyle,Stan,16
4,Kyle,Vernon,2
5,Stan,Vernon,1
6,Cartman,Gerald,2
7,Cartman,Liane,4
8,Cartman,Randy,6
9,Cartman,Sharon,2
10,Cartman,Sheila,4
11,Gerald,Kyle,2
12,Kyle,Liane,4
13,Kyle,Randy,6
14,Kyle,Sharon,2
15,Kyle,Sheila,4
16,Gerald,Stan,1
17,Liane,Stan,2
18,Randy,Stan,3
19,Sharon,Stan,1
20,Sheila,Stan,2
21,Gerald,Liane,1
22,Gerald,Randy,1
23,Gerald,Sharon,1
24,Gerald,Sheila,1
25,Liane,Randy,2
26,Liane,Sharon,1
27,Liane,Sheila,2
28,Randy,Sharon,1
29,Randy,Sheila,2
30,Sharon,Sheila,1
31,Bartender,Cartman,2
32,Bartender,Kyle,2
33,Cartman,Kenny,4
34,Kenny,Kyle,4
35,Kenny,Stan,2
36,Kenny,Randy,1
