,source,target,weight
0,Cartman,Kenny,12
1,Cartman,Kyle,52
2,Cartman,Stan,28
3,Kenny,Kyle,12
4,Kenny,Stan,6
5,Kyle,Stan,28
6,Cartman,Clyde,16
7,Cartman,Craig,12
8,Cartman,Tolkien,8
9,Clyde,Kyle,16
10,Craig,Kyle,12
11,Kyle,Tolkien,8
12,Clyde,Stan,8
13,Craig,Stan,6
14,Stan,Tolkien,4
15,Clyde,Craig,8
16,Clyde,Tolkien,8
17,Craig,Tolkien,4
18,Butters,Cartman,16
19,Butters,Stan,8
20,Butters,Linda,4
21,Butters,Kenny,3
22,Butters,Kyle,14
23,Cartman,Jimmy,4
24,Jimmy,Kyle,4
25,Jimmy,Stan,2
26,Butters,Clyde,6
27,Butters,Craig,4
28,Butters,Jimmy,2
29,Butters,Tolkien,3
30,Clyde,Jimmy,4
31,Craig,Jimmy,2
32,Jimmy,Tolkien,2
33,Cartman,Chef,4
34,Clyde,Kenny,4
35,Craig,Kenny,2
36,Chef,Kenny,2
37,Jimmy,Kenny,1
38,Kenny,Tolkien,2
39,Chef,Kyle,4
40,Chef,Stan,2
41,Butters,Chef,2
42,Chef,Clyde,4
43,Chef,Craig,2
44,Chef,Jimmy,2
45,Chef,Tolkien,2
46,Cartman,Nurse,4
47,Kenny,Nurse,2
48,Kyle,Nurse,4
49,Nurse,Stan,2
50,Butters,Nurse,2
51,Clyde,Nurse,4
52,Craig,Nurse,2
53,Nurse,Tolkien,2
54,Cartman,Linda,4
55,Cartman,Randy,2
56,Cartman,Sheila,4
57,Kyle,Linda,4
58,Kyle,Randy,2
59,Kyle,Sheila,4
60,Linda,Stan,2
61,Randy,Stan,1
62,Sheila,Stan,2
63,Butters,Randy,1
64,Butters,Sheila,1
65,Craig,Linda,2
66,Craig,Randy,1
67,Craig,Sheila,1
68,Linda,Randy,2
69,Linda,Sheila,2
70,Randy,Sheila,1
71,Cartman,Gerald,2
72,Cartman,Skeeter,2
73,Gerald,Kyle,2
74,Kyle,Skeeter,2
75,Gerald,Stan,1
76,Skeeter,Stan,1
77,Gerald,Sheila,1
78,Gerald,Skeeter,1
79,Sheila,Skeeter,1
