,source,target,weight
0,Cartman,Kyle,8
1,Cartman,Stan,6
2,Kyle,Stan,8
3,Chef,Stan,20
4,Chef,Kyle,12
5,Randy,Stan,3
6,Sharon,Stan,2
7,Randy,Sharon,3
8,Cartman,Kenny,2
9,Cartman,Chef,8
10,Kenny,Kyle,2
11,Kenny,Stan,1
12,Chef,Kenny,2
13,Coach,Randy,1
14,Jimbo,Stan,3
15,Nurse,Stan,2
16,Skeeter,Stan,2
17,Chef,Jimbo,4
18,Chef,Nurse,4
19,Chef,Randy,4
20,Chef,Sharon,2
21,Chef,Skeeter,4
22,Jimbo,Nurse,2
23,Jimbo,Randy,2
24,Jimbo,Sharon,1
25,Jimbo,Skeeter,2
26,Nurse,Randy,2
27,Nurse,Sharon,2
28,Nurse,Skeeter,2
29,Randy,Skeeter,2
30,Sharon,Skeeter,1
31,Michael,Stan,24
32,Pete,Stan,4
33,Michael,Pete,24
34,Henrietta,Stan,1
35,Henrietta,Michael,6
36,Henrietta,Pete,2
37,Maury,Stan,1
38,Mercedes,Stan,5
39,Porsche,Stan,1
40,Maury,Mercedes,1
41,Maury,Porsche,1
42,Mercedes,Porsche,1
43,Butters,Stan,3
44,Linda,Stan,2
45,Butters,Linda,4
46,Butters,Mercedes,1
47,Linda,Mercedes,2
48,Chef,Mercedes,2
49,Jimbo,Mercedes,1
50,Butters,Chef,2
51,Cartman,Jimbo,2
52,Cartman,Randy,2
53,Cartman,Skeeter,2
