,source,target,weight
0,Kyle,Stan,12
1,Cartman,Stan,7
2,Cartman,Kyle,10
3,Jimmy,Kyle,1
4,Chef,Kyle,5
5,Kyle,Randy,7
6,Kyle,Sharon,1
7,Kyle,Sheila,1
8,Cartman,Jimmy,1
9,Cartman,Chef,2
10,Cartman,Randy,3
11,Cartman,Sharon,1
12,Cartman,Sheila,1
13,Chef,Jimmy,1
14,Jimmy,Randy,1
15,Jimmy,Sharon,1
16,Jimmy,Sheila,1
17,Chef,Randy,5
18,Chef,Sharon,1
19,Chef,Sheila,1
20,Randy,Sharon,3
21,Randy,Sheila,1
22,Sharon,Sheila,1
23,Randy,Stan,7
24,Butters,Stan,1
25,Butters,Kyle,1
26,Gerald,Kyle,4
27,Cartman,Gerald,2
28,Chef,Gerald,3
29,Gerald,Randy,4
30,Shelly,Stan,1
31,Sharon,Stan,1
32,Randy,Shelly,1
33,Sharon,Shelly,1
34,Jimbo,Stan,1
35,Stan,Stephen,1
36,Chef,Stan,2
37,Gerald,Stan,2
38,Jimbo,Kyle,1
39,Kyle,Stephen,1
40,Jimbo,Stephen,1
41,Chef,Jimbo,1
42,Jimbo,Randy,1
43,Gerald,Jimbo,1
44,Chef,Stephen,1
45,Randy,Stephen,1
46,Gerald,Stephen,1
