,source,target,weight
0,Cartman,Kenny,12
1,Cartman,Kyle,56
2,Cartman,Stan,28
3,Butters,Cartman,6
4,Cartman,Clyde,4
5,Kenny,Kyle,12
6,Kenny,Stan,6
7,Butters,Kenny,2
8,Clyde,Kenny,2
9,Kyle,Stan,30
10,Butters,Kyle,6
11,Clyde,Kyle,4
12,Butters,Stan,3
13,Clyde,Stan,2
14,Butters,Clyde,2
15,Cartman,Trent,8
16,Boy,Cartman,2
17,Kenny,Trent,2
18,Boy,Kenny,1
19,Kyle,Trent,8
20,Boy,Kyle,2
21,Stan,Trent,4
22,Boy,Stan,1
23,Butters,Trent,3
24,Boy,Butters,1
25,Boy,Trent,1
26,Butters,Linda,4
27,Butters,Stephen,4
28,Linda,Stephen,12
29,Linda,Trent,2
30,Stephen,Trent,2
31,Cartman,Linda,4
32,Cartman,Stephen,4
33,Kyle,Linda,4
34,Kyle,Stephen,4
35,Linda,Stan,2
36,Stan,Stephen,2
37,Sheila,Trent,1
