,source,target,weight
0,Cartman,Jimmy,24
1,Cartman,Stan,30
2,Cartman,Kyle,64
3,Butters,Cartman,20
4,Cartman,Craig,8
5,Cartman,Tolkien,14
6,Kyle,Stan,28
7,Butters,Kyle,20
8,Craig,Kyle,8
9,Jimmy,Kyle,22
10,Kyle,Tolkien,14
11,Butters,Stan,9
12,Craig,Stan,4
13,Jimmy,Stan,10
14,Stan,Tolkien,7
15,Butters,Craig,3
16,Butters,Jimmy,7
17,Butters,Tolkien,5
18,Craig,Jimmy,2
19,Craig,Tolkien,2
20,Jimmy,Tolkien,6
21,Bradley,Cartman,2
22,Cartman,Kevin,6
23,Bradley,Kyle,2
24,Kevin,Kyle,6
25,Bradley,Stan,1
26,Kevin,Stan,3
27,Bradley,Butters,1
28,Bradley,Craig,1
29,Bradley,Kevin,3
30,Butters,Kevin,3
31,Craig,Kevin,3
32,Cartman,Kenny,2
33,Cartman,Clyde,4
34,Cartman,Kids,2
35,Kenny,Kyle,2
36,Kenny,Stan,1
37,Butters,Kenny,1
38,Clyde,Kenny,2
39,Craig,Kenny,1
40,Kenny,Kids,1
41,Kenny,Tolkien,1
42,Clyde,Kyle,4
43,Kids,Kyle,2
44,Clyde,Stan,2
45,Kids,Stan,1
46,Butters,Clyde,2
47,Butters,Kids,1
48,Clyde,Craig,2
49,Clyde,Kids,2
50,Clyde,Tolkien,2
51,Craig,Kids,1
52,Kids,Tolkien,1
53,Bebe,Cartman,2
54,Cartman,Pete,4
55,Bebe,Kyle,2
56,Kyle,Pete,4
57,Bebe,Stan,1
58,Pete,Stan,2
59,Bebe,Butters,1
60,Bebe,Jimmy,1
61,Bebe,Pete,2
62,Bebe,Tolkien,1
63,Butters,Pete,2
64,Jimmy,Pete,2
65,Pete,Tolkien,2
