,source,target,weight
0,Annie,Bebe,8
1,Annie,Paris,4
2,Annie,Red,8
3,Annie,Wendy,6
4,Bebe,Paris,3
5,Bebe,Red,6
6,Bebe,Wendy,5
7,Paris,Red,3
8,Paris,Wendy,2
9,Red,Wendy,5
10,Butters,Paris,7
11,Butters,Linda,6
12,Linda,Paris,4
13,Annie,Cartman,4
14,Bebe,Cartman,2
15,Cartman,Millie,4
16,Cartman,Red,4
17,Cartman,Sally,6
18,Cartman,Wendy,2
19,Annie,Millie,2
20,Annie,Sally,6
21,Bebe,Millie,1
22,Bebe,Sally,3
23,Millie,Red,2
24,Millie,Sally,3
25,Millie,Wendy,1
26,Red,Sally,3
27,Sally,Wendy,3
28,Cartman,Clyde,4
29,Clyde,Millie,2
30,Clyde,Red,2
31,Annie,Stan,2
32,Bebe,Stan,1
33,Butters,Stan,1
34,Paris,Stan,1
35,Red,Stan,1
36,Annie,Butters,2
37,Bebe,Butters,2
38,Butters,Red,2
39,Bebe,Randy,1
40,Paris,Randy,1
41,Randy,Red,1
42,Randy,Wendy,1
43,Butters,Wendy,1
