,source,target,weight
0,Cartman,Kyle,16
1,Cartman,Stan,2
2,Butters,Cartman,4
3,Cartman,Clyde,4
4,Cartman,Craig,2
5,Cartman,Tolkien,2
6,Kyle,Stan,4
7,Butters,Kyle,6
8,Clyde,Kyle,4
9,Craig,Kyle,2
10,Kyle,Tolkien,4
11,Butters,Stan,2
12,Clyde,Stan,2
13,Craig,Stan,1
14,Stan,Tolkien,2
15,Butters,Clyde,2
16,Butters,Craig,1
17,Butters,Tolkien,2
18,Clyde,Craig,2
19,Clyde,Tolkien,2
20,Craig,Tolkien,1
21,Cartman,Liane,10
22,Cartman,Murphy,16
23,Cartman,Nurse,4
24,Liane,Murphy,2
25,Liane,Nurse,2
26,Murphy,Nurse,2
27,Kyle,Murphy,10
28,Butters,Murphy,1
29,Kenny,Kyle,2
30,Kenny,Murphy,1
