,source,target,weight
0,Red,Students,2
1,Bebe,Red,2
2,Mandy,Red,1
3,Butters,Red,1
4,Cartman,Red,1
5,Blonde PETA woman,Red,2
6,Herbert Garrison,Red,7
7,Dreadlocked PETA Man,Red,1
8,Gas Mask PETA Member,Red,1
9,Class,Red,1
10,Red,Stan,2
11,Clyde,Red,1
12,Dreadlocked PETA man,Red,2
13,Red,Wendy,1
14,Bebe,Students,4
15,Mandy,Students,2
16,Butters,Students,2
17,Cartman,Students,2
18,Blonde PETA woman,Students,4
19,Herbert Garrison,Students,14
20,Dreadlocked PETA Man,Students,2
21,Gas Mask PETA Member,Students,2
22,Class,Students,2
23,Stan,Students,4
24,Clyde,Students,2
25,Dreadlocked PETA man,Students,4
26,Students,Wendy,2
27,Bebe,Mandy,2
28,Bebe,Butters,2
29,Bebe,Cartman,2
30,Bebe,Blonde PETA woman,4
31,Bebe,Herbert Garrison,14
32,Bebe,Dreadlocked PETA Man,2
33,Bebe,Gas Mask PETA Member,2
34,Bebe,Class,2
35,Bebe,Stan,4
36,Bebe,Clyde,2
37,Bebe,Dreadlocked PETA man,4
38,Bebe,Wendy,2
39,Butters,Mandy,1
40,Cartman,Mandy,1
41,Blonde PETA woman,Mandy,2
42,Herbert Garrison,Mandy,7
43,Dreadlocked PETA Man,Mandy,1
44,Gas Mask PETA Member,Mandy,1
45,Class,Mandy,1
46,Mandy,Stan,2
47,Clyde,Mandy,1
48,Dreadlocked PETA man,Mandy,2
49,Mandy,Wendy,1
50,Butters,Cartman,67
51,Blonde PETA woman,Butters,2
52,Butters,Herbert Garrison,11
53,Butters,Dreadlocked PETA Man,1
54,Butters,Gas Mask PETA Member,1
55,Butters,Class,1
56,Butters,Stan,6
57,Butters,Clyde,7
58,Butters,Dreadlocked PETA man,2
59,Butters,Wendy,1
60,Blonde PETA woman,Cartman,2
61,Cartman,Herbert Garrison,13
62,Cartman,Dreadlocked PETA Man,1
63,Cartman,Gas Mask PETA Member,1
64,Cartman,Class,1
65,Cartman,Stan,24
66,Cartman,Clyde,19
67,Cartman,Dreadlocked PETA man,2
68,Cartman,Wendy,1
69,Blonde PETA woman,Herbert Garrison,14
70,Blonde PETA woman,Dreadlocked PETA Man,2
71,Blonde PETA woman,Gas Mask PETA Member,2
72,Blonde PETA woman,Class,2
73,Blonde PETA woman,Stan,4
74,Blonde PETA woman,Clyde,2
75,Blonde PETA woman,Dreadlocked PETA man,4
76,Blonde PETA woman,Wendy,2
77,Dreadlocked PETA Man,Herbert Garrison,7
78,Gas Mask PETA Member,Herbert Garrison,7
79,Class,Herbert Garrison,7
80,Herbert Garrison,Stan,14
81,Clyde,Herbert Garrison,7
82,Dreadlocked PETA man,Herbert Garrison,14
83,Herbert Garrison,Wendy,7
84,Dreadlocked PETA Man,Gas Mask PETA Member,1
85,Class,Dreadlocked PETA Man,1
86,Dreadlocked PETA Man,Stan,2
87,Clyde,Dreadlocked PETA Man,1
88,Dreadlocked PETA Man,Dreadlocked PETA man,2
89,Dreadlocked PETA Man,Wendy,1
90,Class,Gas Mask PETA Member,1
91,Gas Mask PETA Member,Stan,2
92,Clyde,Gas Mask PETA Member,1
93,Dreadlocked PETA man,Gas Mask PETA Member,2
94,Gas Mask PETA Member,Wendy,1
95,Class,Stan,2
96,Class,Clyde,1
97,Class,Dreadlocked PETA man,2
