,source,target,weight
0,Kyle,Stan,7
1,Kenny,Stan,1
2,Kenny,Kyle,1
3,Sharon,Stan,1
4,Cartman,Linda,6
5,Cartman,Randy,9
6,Cartman,Gerald,1
7,Linda,Randy,6
8,Gerald,Linda,1
9,Gerald,Randy,1
10,Cartman,Stan,3
11,Cartman,Kyle,3
12,Randy,Sharon,3
13,Jimbo,Randy,3
14,Cartman,Jimbo,2
15,Cartman,Sheila,2
16,Jimbo,Sheila,1
17,Randy,Sheila,2
18,Jimbo,Linda,1
19,Butters,Cartman,1
20,Cartman,Sharon,1
21,Butters,Linda,1
22,Butters,Randy,1
23,Butters,Sharon,1
24,Butters,Sheila,1
25,Linda,Sharon,1
26,Linda,Sheila,1
27,Sharon,Sheila,1
28,Linda,Stan,1
29,Randy,Stan,2
30,Kyle,Linda,1
31,Kyle,Randy,2
