,source,target,weight
0,Kyle,Stan,9
1,Cartman,Stan,7
2,Butters,Stan,3
3,Stan,Stephen,4
4,Randy,Stan,7
5,Sharon,Stan,3
6,Gerald,Stan,4
7,Cartman,Kyle,7
8,Butters,Kyle,4
9,Kyle,Stephen,3
10,Kyle,Randy,5
11,Kyle,Sharon,3
12,Gerald,Kyle,3
13,Butters,Cartman,3
14,Cartman,Stephen,3
15,Cartman,Randy,4
16,Cartman,Sharon,2
17,Cartman,Gerald,2
18,Butters,Stephen,1
19,Butters,Randy,2
20,Butters,Sharon,1
21,Butters,Gerald,1
22,Randy,Stephen,2
23,Sharon,Stephen,1
24,Gerald,Stephen,3
25,Randy,Sharon,4
26,Gerald,Randy,3
27,Gerald,Sharon,2
28,Jimmy,Stan,1
29,Jimmy,Kyle,1
30,Cartman,Jimmy,1
31,Butters,Jimmy,1
32,Sheila,Stan,1
33,Kyle,Sheila,1
34,Cartman,Sheila,1
35,Randy,Sheila,1
36,Stan,Tolkien,1
37,Kyle,Tolkien,1
38,Cartman,Tolkien,1
39,Stephen,Tolkien,1
