,source,target,weight
0,Cartman,Kyle,20
1,Cartman,Stan,8
2,Cartman,Sharon,2
3,Kyle,Stan,10
4,Kyle,Sharon,2
5,Sharon,Stan,1
6,Cartman,Kenny,2
7,Kenny,Kyle,4
8,Kenny,Stan,2
9,Bradley,Cartman,2
10,Cartman,Clyde,8
11,Cartman,Craig,2
12,Cartman,Jimmy,4
13,Cartman,Kevin,6
14,Cartman,Tolkien,2
15,Bradley,Kyle,2
16,Clyde,Kyle,8
17,Craig,Kyle,2
18,Jimmy,Kyle,4
19,Kevin,Kyle,6
20,Kyle,Tolkien,2
21,Bradley,Stan,1
22,Clyde,Stan,4
23,Craig,Stan,1
24,Jimmy,Stan,2
25,Kevin,Stan,3
26,Stan,Tolkien,1
27,Bradley,Clyde,2
28,Bradley,Craig,1
29,Bradley,Jimmy,1
30,Bradley,Kevin,3
31,Bradley,Tolkien,1
32,Clyde,Craig,2
33,Clyde,Jimmy,4
34,Clyde,Kevin,6
35,Clyde,Tolkien,2
36,Craig,Jimmy,1
37,Craig,Kevin,3
38,Craig,Tolkien,1
39,Jimmy,Kevin,3
40,Jimmy,Tolkien,1
41,Kevin,Tolkien,3
42,Butters,Cartman,22
43,Butters,Linda,6
44,Butters,Stephen,10
45,Linda,Stephen,12
46,Cartman,Stephen,16
47,Cartman,Liane,2
48,Butters,Liane,1
49,Butters,Kyle,4
50,Cartman,Linda,8
51,Doctor,Linda,4
52,Butters,Doctor,2
53,Cartman,Doctor,2
54,Doctor,Stephen,2
55,Kyle,Stephen,4
56,Butters,Stan,1
57,Stan,Stephen,2
58,Butters,Clyde,2
59,Butters,Jimmy,1
60,Clyde,Stephen,4
61,Jimmy,Stephen,2
