,source,target,weight
0,Randy,Stan,5
1,Sharon,Stan,1
2,Randy,Sharon,2
3,Kyle,Stan,10
4,Kyle,Randy,4
5,Gerald,Stan,2
6,Jimbo,Stan,3
7,Linda,Stan,2
8,Sheila,Stan,2
9,Stan,Stephen,2
10,Gerald,Jimbo,2
11,Gerald,Linda,2
12,Gerald,Randy,2
13,Gerald,Sheila,3
14,Gerald,Stephen,4
15,Jimbo,Linda,2
16,Jimbo,Randy,4
17,Jimbo,Sheila,1
18,Jimbo,Stephen,4
19,Linda,Randy,4
20,Linda,Sheila,2
21,Linda,Stephen,4
22,Randy,Sheila,1
23,Randy,Stephen,4
24,Sheila,Stephen,2
25,Linda,Sharon,2
26,Linda,Tom,8
27,Randy,Tom,4
28,Sharon,Tom,4
29,Jimbo,Kyle,2
30,Cartman,Kyle,28
31,Cartman,Stan,6
32,Cartman,Gerald,2
33,Cartman,Michael,12
34,Cartman,Peter,4
35,Cartman,Sheila,2
36,Gerald,Kyle,4
37,Kyle,Michael,12
38,Kyle,Peter,4
39,Kyle,Sheila,4
40,Michael,Stan,6
41,Peter,Stan,2
42,Gerald,Michael,6
43,Gerald,Peter,2
44,Michael,Peter,12
45,Michael,Sheila,6
46,Peter,Sheila,2
47,Cartman,Wendy,2
48,Kyle,Wendy,2
49,Stan,Wendy,1
50,Cartman,Randy,2
51,Cartman,Kenny,2
52,Kenny,Kyle,2
53,Kenny,Stan,1
54,Ike,Kyle,2
55,Gerald,Ike,1
56,Ike,Sheila,1
