,source,target,weight
0,Kyle,Stan,8
1,Cartman,Stan,9
2,Kenny,Stan,4
3,Cartman,Kyle,9
4,Kenny,Kyle,4
5,Cartman,Kenny,4
6,Butters,Stan,1
7,Butters,Kyle,1
8,Butters,Cartman,1
9,Butters,Kenny,1
10,Gerald,Randy,4
11,Jimbo,Randy,3
12,Gerald,Jimbo,2
13,Randy,Stephen,4
14,Gerald,Stephen,2
15,Linda,Stephen,3
16,Linda,Randy,3
17,Gerald,Kyle,1
18,Cartman,Gerald,2
19,Jimbo,Stephen,2
20,Jimbo,Linda,2
21,Gerald,Linda,1
22,Jimbo,Stan,1
23,Stan,Stephen,1
24,Linda,Stan,1
25,Randy,Stan,1
26,Jimbo,Kyle,1
27,Kyle,Stephen,1
28,Kyle,Linda,1
29,Kyle,Randy,1
30,Cartman,Jimbo,1
31,Cartman,Stephen,1
32,Cartman,Linda,1
33,Cartman,Randy,1
