,source,target,weight
0,Cartman,Kyle,16
1,Cartman,Stan,4
2,Butters,Cartman,2
3,Cartman,Clyde,8
4,Cartman,Craig,4
5,Cartman,Jason,2
6,Cartman,Jimmy,2
7,Cartman,Tolkien,2
8,Kyle,Stan,10
9,Butters,Kyle,6
10,Clyde,Kyle,8
11,Craig,Kyle,4
12,Jason,Kyle,2
13,Jimmy,Kyle,4
14,Kyle,Tolkien,2
15,Butters,Stan,3
16,Clyde,Stan,4
17,Craig,Stan,2
18,Jason,Stan,1
19,Jimmy,Stan,2
20,Stan,Tolkien,1
21,Butters,Clyde,2
22,Butters,Craig,1
23,Butters,Jason,1
24,Butters,Jimmy,2
25,Butters,Tolkien,1
26,Clyde,Craig,4
27,Clyde,Jason,2
28,Clyde,Jimmy,2
29,Clyde,Tolkien,2
30,Craig,Jason,1
31,Craig,Jimmy,1
32,Craig,Tolkien,1
33,Jason,Jimmy,1
34,Jason,Tolkien,1
35,Jimmy,Tolkien,1
36,Cartman,Gerald,2
37,Cartman,Sheila,2
38,Gerald,Kyle,2
39,Kyle,Sheila,2
40,Gerald,Sheila,1
41,Kyle,Linda,4
42,Kyle,Sharon,2
43,Kyle,Stephen,4
44,Linda,Stan,2
45,Sharon,Stan,1
46,Stan,Stephen,2
47,Linda,Sharon,2
48,Linda,Stephen,4
49,Sharon,Stephen,2
50,Butters,Cinderella,1
