,source,target,weight
0,Cartman,Stan,8
1,Cartman,Randy,4
2,Randy,Stan,3
3,Cartman,Kyle,12
4,Butters,Cartman,6
5,Kyle,Stan,26
6,Butters,Kyle,8
7,Kyle,Randy,4
8,Butters,Stan,4
9,Butters,Randy,1
10,Britney,Cartman,2
11,Britney,Kyle,8
12,Britney,Stan,4
13,Britney,Butters,1
14,Doctor,Kyle,8
15,Kyle,Nurse,4
16,Doctor,Stan,4
17,Nurse,Stan,2
18,Doctor,Nurse,2
19,Britney,Doctor,2
20,Gerald,Kyle,2
21,Gerald,Stan,1
22,Britney,Gerald,1
23,Britney,Randy,1
24,Doctor,Gerald,1
25,Doctor,Randy,1
26,Gerald,Randy,1
27,Jimbo,Randy,1
28,Jimbo,Sheila,1
29,Randy,Sheila,1
