,source,target,weight
0,Cartman,Kyle,32
1,Cartman,Stan,16
2,Butters,Cartman,4
3,Cartman,Clyde,4
4,Cartman,Craig,2
5,Cartman,Jason,2
6,Cartman,Jimmy,4
7,Kyle,Stan,16
8,Butters,Kyle,4
9,Clyde,Kyle,4
10,Craig,Kyle,2
11,Jason,Kyle,2
12,Jimmy,Kyle,4
13,Butters,Stan,4
14,Clyde,Stan,4
15,Craig,Stan,1
16,Jason,Stan,1
17,Jimmy,Stan,3
18,Butters,Clyde,4
19,Butters,Craig,1
20,Butters,Jason,1
21,Butters,Jimmy,1
22,Clyde,Craig,2
23,Clyde,Jason,2
24,Clyde,Jimmy,2
25,Craig,Jason,1
26,Craig,Jimmy,1
27,Jason,Jimmy,1
28,Bebe,Cartman,6
29,Bridon,Cartman,6
30,Cartman,Heidi,2
31,Cartman,Millie,2
32,Cartman,Red,2
33,Cartman,Kids,4
34,Cartman,Wendy,6
35,Bebe,Kyle,6
36,Bridon,Kyle,6
37,Heidi,Kyle,2
38,Kyle,Millie,2
39,Kyle,Red,2
40,Kids,Kyle,4
41,Kyle,Wendy,6
42,Bebe,Stan,5
43,Bridon,Stan,7
44,Heidi,Stan,1
45,Millie,Stan,1
46,Red,Stan,1
47,Kids,Stan,3
48,Stan,Wendy,5
49,Bebe,Bridon,5
50,Bebe,Butters,3
51,Bebe,Heidi,1
52,Bebe,Millie,1
53,Bebe,Red,1
54,Bebe,Kids,2
55,Bebe,Wendy,4
56,Bridon,Butters,3
57,Bridon,Heidi,1
58,Bridon,Millie,1
59,Bridon,Red,1
60,Bridon,Kids,2
61,Bridon,Wendy,4
62,Butters,Heidi,1
63,Butters,Millie,1
64,Butters,Red,1
65,Butters,Kids,2
66,Butters,Wendy,2
67,Heidi,Millie,1
68,Heidi,Red,1
69,Heidi,Kids,1
70,Heidi,Wendy,1
71,Millie,Red,1
72,Kids,Millie,1
73,Millie,Wendy,1
74,Kids,Red,1
75,Red,Wendy,1
76,Kids,Wendy,1
77,Cartman,Kenny,8
78,Kenny,Kyle,8
79,Kenny,Stan,4
80,Jimmy,Wendy,1
81,Lola,Stan,1
82,Bebe,Lola,1
83,Bridon,Lola,1
84,Butters,Lola,1
85,Kids,Lola,1
86,Jimmy,Kids,1
87,Bridon,Jason,1
88,Cartman,Scott,12
89,Kenny,Scott,6
90,Kyle,Scott,12
91,Scott,Stan,6
92,Bebe,Clyde,2
93,Bridon,Clyde,2
94,Clyde,Wendy,2
95,Boys,Cartman,2
96,Bebe,Kenny,1
97,Bridon,Kenny,1
98,Boys,Kenny,1
99,Kenny,Wendy,1
100,Boys,Kyle,2
101,Boys,Stan,1
102,Bebe,Scott,2
103,Bebe,Boys,1
104,Bridon,Scott,2
105,Boys,Bridon,1
106,Boys,Scott,2
107,Scott,Wendy,2
108,Boys,Wendy,1
