,source,target,weight
0,Cartman,Kyle,32
1,Cartman,Stan,14
2,Butters,Cartman,2
3,Cartman,Craig,2
4,Cartman,Jimmy,2
5,Kyle,Stan,16
6,Butters,Kyle,4
7,Craig,Kyle,2
8,Jimmy,Kyle,2
9,Butters,Stan,2
10,Craig,Stan,1
11,Jimmy,Stan,1
12,Butters,Craig,1
13,Butters,Jimmy,1
14,Craig,Jimmy,1
15,Cartman,Kenny,10
16,Kenny,Kyle,10
17,Kenny,Stan,4
18,Kenny,Tammy,3
19,Kevin,Nick,12
20,Kenny,Kevin,3
21,Kenny,Nick,1
22,Kevin,Tammy,3
23,Nick,Tammy,1
24,Kevin,Mickey,9
25,Mickey,Nick,2
26,Cartman,Kevin,6
27,Cartman,Mickey,4
28,Cartman,Nick,2
29,Kevin,Kyle,12
30,Kyle,Mickey,4
31,Kyle,Nick,2
32,Kevin,Stan,6
33,Mickey,Stan,3
34,Nick,Stan,1
35,Kenny,Mickey,1
36,Mickey,Tammy,1
