,source,target,weight
0,Cartman,Kenny,10
1,Cartman,Kyle,44
2,Cartman,Stan,24
3,Kenny,Kyle,10
4,Kenny,Stan,5
5,Kyle,Stan,22
6,Butters,Cartman,10
7,Cartman,Stephen,8
8,Butters,Kenny,1
9,Kenny,Stephen,2
10,Butters,Kyle,8
11,Kyle,Stephen,8
12,Butters,Stan,5
13,Stan,Stephen,4
14,Butters,Stephen,8
15,Randy,Sharon,2
16,Cartman,Gerald,2
17,Cartman,Randy,2
18,Cartman,Sharon,2
19,Cartman,Sheila,2
20,Gerald,Kyle,2
21,Kyle,Randy,2
22,Kyle,Sharon,2
23,Kyle,Sheila,2
24,Gerald,Stan,1
25,Randy,Stan,1
26,Sharon,Stan,1
27,Sheila,Stan,1
28,Butters,Gerald,1
29,Butters,Randy,1
30,Butters,Sharon,1
31,Butters,Sheila,1
32,Gerald,Randy,1
33,Gerald,Sharon,1
34,Gerald,Sheila,1
35,Gerald,Stephen,2
36,Randy,Sheila,1
37,Randy,Stephen,2
38,Sharon,Sheila,1
39,Sharon,Stephen,2
40,Sheila,Stephen,2
41,Cartman,Clyde,4
42,Cartman,Lola,2
43,Cartman,Rebecca,2
44,Cartman,Red,2
45,Clyde,Kyle,4
46,Kyle,Lola,2
47,Kyle,Rebecca,2
48,Kyle,Red,2
49,Clyde,Stan,2
50,Lola,Stan,1
51,Rebecca,Stan,1
52,Red,Stan,1
53,Butters,Clyde,2
54,Butters,Lola,1
55,Butters,Rebecca,1
56,Butters,Red,1
57,Clyde,Lola,2
58,Clyde,Rebecca,2
59,Clyde,Red,2
60,Lola,Rebecca,1
61,Lola,Red,1
62,Rebecca,Red,1
63,Butters,Linda,2
64,Linda,Stephen,4
65,Al,Matt,4
