,source,target,weight
0,Cartman,Kyle,4
1,Cartman,Stan,2
2,Butters,Cartman,2
3,Kyle,Stan,14
4,Butters,Kyle,2
5,Butters,Stan,1
6,Gerald,Stan,3
7,Mayor,Stan,3
8,Randy,Stan,7
9,Gerald,Mayor,3
10,Gerald,Randy,3
11,Mayor,Randy,4
12,Jimbo,Kyle,6
13,Kyle,Randy,8
14,Kyle,Stephen,4
15,Jimbo,Stan,3
16,Stan,Stephen,2
17,Jimbo,Randy,3
18,Jimbo,Stephen,2
19,Randy,Stephen,2
20,Buddha,Kyle,2
21,Jesus,Kyle,2
22,Kyle,Moses,2
23,Buddha,Stan,1
24,Jesus,Stan,1
25,Moses,Stan,1
26,Buddha,Jesus,1
27,Buddha,Moses,1
28,Jesus,Moses,1
29,Gerald,Kyle,4
30,Kyle,Mayor,4
31,Kyle,Muhammad,2
32,Kyle,Sheila,2
33,Muhammad,Stan,1
34,Sheila,Stan,1
35,Gerald,Jimbo,2
36,Gerald,Muhammad,1
37,Gerald,Sheila,1
38,Jimbo,Mayor,2
39,Jimbo,Muhammad,1
40,Jimbo,Sheila,1
41,Mayor,Muhammad,1
42,Mayor,Sheila,1
43,Muhammad,Randy,1
44,Muhammad,Sheila,1
45,Randy,Sheila,1
46,Cartman,Mitch,12
47,Cartman,Garrison,2
48,Garrison,Mitch,3
