,source,target,weight
0,Gerald,Kyle,2
1,Ike,Kyle,4
2,Kyle,Sheila,6
3,Gerald,Ike,1
4,Gerald,Sheila,1
5,Ike,Sheila,2
6,Randy,Sharon,2
7,Cartman,Kyle,28
8,Cartman,Stan,12
9,Kyle,Stan,12
10,Sharon,Sheila,2
11,Jimbo,Randy,4
12,Jimbo,Sheila,1
13,Randy,Sheila,1
14,Cartman,Kenny,4
15,Kenny,Kyle,4
16,Kenny,Stan,2
17,Randy,Stephen,4
18,Randy,Stuart,2
19,Stephen,Stuart,2
20,Bartender,Jimbo,1
21,Barbrady,Bartender,1
22,Bartender,Randy,1
23,Bartender,Snooki,1
24,Bartender,Stephen,2
25,Barbrady,Jimbo,1
26,Jimbo,Snooki,1
27,Jimbo,Stephen,2
28,Barbrady,Randy,1
29,Barbrady,Snooki,1
30,Barbrady,Stephen,2
31,Randy,Snooki,2
32,Snooki,Stephen,2
33,Butters,Cartman,4
34,Cartman,Snooki,4
35,Kenny,Snooki,1
36,Kyle,Snooki,4
37,Snooki,Stan,2
38,Gerald,Jimbo,1
39,Gerald,Randy,1
40,Gerald,Sharon,1
41,Jimbo,Sharon,1
42,Cartman,DogPoo,2
43,Butters,Kyle,2
44,DogPoo,Kyle,2
45,Butters,Stan,1
46,DogPoo,Stan,1
47,Butters,DogPoo,1
48,Butters,Snooki,1
49,DogPoo,Snooki,1
50,Jimbo,Stuart,1
51,Cartman,Randy,2
52,Kyle,Randy,2
53,Randy,Stan,1
