,source,target,weight
0,Cartman,Kyle,40
1,Cartman,Stan,22
2,Butters,Cartman,2
3,Cartman,Liane,2
4,Cartman,Sharon,4
5,Boys,Cartman,2
6,Kyle,Stan,22
7,Butters,Kyle,2
8,Kyle,Liane,2
9,Kyle,Sharon,4
10,Boys,Kyle,2
11,Butters,Stan,1
12,Liane,Stan,1
13,Sharon,Stan,3
14,Boys,Stan,1
15,Butters,Liane,1
16,Butters,Sharon,1
17,Boys,Butters,1
18,Liane,Sharon,1
19,Boys,Liane,1
20,Boys,Sharon,1
21,Randy,Sharon,7
22,Cartman,Gerald,2
23,Cartman,Randy,2
24,Cartman,Sheila,2
25,Gerald,Kyle,2
26,Kyle,Randy,2
27,Kyle,Sheila,2
28,Gerald,Stan,1
29,Randy,Stan,1
30,Sheila,Stan,1
31,Gerald,Randy,1
32,Gerald,Sharon,1
33,Gerald,Sheila,1
34,Randy,Sheila,1
35,Sharon,Sheila,1
36,Cartman,Kenny,2
37,Kenny,Kyle,2
38,Kenny,Stan,1
