,source,target,weight
0,Cartman,Kyle,12
1,Cartman,Clyde,16
2,Clyde,Kyle,8
3,Butters,Cartman,4
4,Butters,Kyle,2
5,Butters,Clyde,4
6,Kyle,Stan,6
7,Linda,Stephen,4
8,Cartman,Liane,4
9,Cartman,Terrance,2
10,Liane,Terrance,1
11,Jimmy,Kyle,4
12,Jimmy,Stan,3
13,Cartman,Gerald,2
14,Clyde,Stan,2
15,Clyde,Jimmy,2
16,Cartman,Jimbo,2
17,Cartman,Randy,6
18,Cartman,Sheila,2
19,Cartman,Stephen,4
20,Jimbo,Randy,1
21,Jimbo,Sheila,1
22,Jimbo,Stephen,2
23,Randy,Sheila,1
24,Randy,Stephen,2
25,Sheila,Stephen,2
26,Butters,Randy,1
27,Clyde,Randy,2
