,source,target,weight
0,Cartman,Kenny,2
1,Cartman,Kyle,16
2,Cartman,Stan,4
3,Butters,Cartman,8
4,Cartman,Clyde,4
5,Cartman,Craig,2
6,Kenny,Kyle,2
7,Kenny,Stan,1
8,Butters,Kenny,1
9,Clyde,Kenny,2
10,Craig,Kenny,1
11,Kyle,Stan,4
12,Butters,Kyle,2
13,Clyde,Kyle,4
14,Craig,Kyle,2
15,Butters,Stan,1
16,Clyde,Stan,2
17,Craig,Stan,1
18,Butters,Clyde,2
19,Butters,Craig,1
20,Clyde,Craig,2
21,Cartman,Tolkien,8
22,Butters,Tolkien,1
23,Kyle,Tolkien,6
24,Bebe,Cartman,4
25,Cartman,Red,4
26,Bebe,Red,2
27,Cartman,Lola,2
28,Cartman,Nichole,8
29,Cartman,Wendy,2
30,Bebe,Lola,1
31,Bebe,Nichole,1
32,Bebe,Wendy,1
33,Lola,Nichole,1
34,Lola,Red,1
35,Lola,Wendy,1
36,Nichole,Red,1
37,Nichole,Wendy,1
38,Red,Wendy,1
39,Kyle,Nichole,4
40,Butters,Nichole,1
41,Craig,Jimmy,1
42,Nichole,Tolkien,5
43,Jenny,Kyle,2
44,Kyle,Lola,2
45,Jenny,Lola,1
46,Cartman,Liane,2
47,Cartman,Stacy,2
48,Kyle,Stacy,2
49,Nichole,Stacy,1
50,Stacy,Tolkien,1
