,source,target,weight
0,Randy,Sharon,12
1,Marvin,Sharon,15
2,Marvin,Randy,20
3,Cartman,Stan,41
4,Kyle,Stan,35
5,Cartman,Kyle,24
6,Dean,Vivian,9
7,Cartman,Kenny,5
8,Cartman,Dean,5
9,Caller,Cartman,11
10,Kenny,Stan,4
11,Dean,Stan,67
12,Caller,Stan,3
13,Kenny,Kyle,4
14,Dean,Kyle,2
15,Caller,Kyle,2
16,Dean,Kenny,1
17,Caller,Kenny,1
18,Caller,Dean,1
19,Marvin,Stan,32
20,Butters,Cartman,11
21,Butters,Leroy,4
22,Cartman,Leroy,8
23,Dean,Marcia,8
24,Marcia,Stan,8
25,Caller,Mrs. Appleby,5
26,Cartman,Mrs. Appleby,30
27,Manager,Stan,3
28,Kyle,Manager,6
29,Kenny,Manager,3
30,Butters,Stan,3
31,Butters,Kyle,3
