,source,target,weight
0,Cartman,Kyle,20
1,Cartman,Clyde,12
2,Cartman,Liane,2
3,Clyde,Kyle,8
4,Kyle,Liane,2
5,Clyde,Liane,2
6,Cartman,Stan,12
7,Cartman,Craig,2
8,Cartman,Jimmy,4
9,Cartman,Pete,4
10,Kyle,Stan,8
11,Craig,Kyle,2
12,Jimmy,Kyle,4
13,Kyle,Pete,4
14,Clyde,Stan,2
15,Craig,Stan,1
16,Jimmy,Stan,2
17,Pete,Stan,2
18,Clyde,Craig,2
19,Clyde,Jimmy,2
20,Clyde,Pete,4
21,Craig,Jimmy,1
22,Craig,Pete,2
23,Jimmy,Pete,2
24,Cartman,Kenny,6
25,Cartman,Thompson,2
26,Stan,Thompson,1
27,Tammy,Tom,4
28,Butters,George R. R. Martin,1
29,Kyle,Sharon,2
30,Sharon,Stan,1
31,George R. R. Martin,Pete,2
32,Clyde,Kenny,2
33,Kenny,Kyle,2
34,Kenny,Stan,1
35,Butters,Cartman,4
36,Butters,Stan,2
37,George R. R. Martin,Randy,1
38,George R. R. Martin,Rick,1
39,George R. R. Martin,Sharon,1
40,Randy,Rick,1
41,Randy,Sharon,1
42,Rick,Sharon,1
43,Cartman,Randy,2
44,Randy,Stan,1
45,Butters,Kyle,2
46,Butters,Jimmy,1
