,source,target,weight
0,Cartman,Kyle,160
1,Craig,Kyle,17
2,Cartman,Craig,23
3,Butters,Cartman,23
4,Butters,Craig,7
5,Butters,Kyle,16
6,Kyle,Mr. Mackey,51
7,Butters,Mr. Mackey,2
8,Kyle,Principal Victoria,12
9,Mr. Mackey,Principal Victoria,9
10,Bishop,Israeli,3
11,Bishop,Others,3
12,Israeli,Others,1
13,Kyle,Sheila,6
14,Cartman,Sheila,4
15,Kyle,Stan,156
16,Cartman,Stan,31
17,Craig,Stan,3
18,Cartman,Mr. Mackey,15
19,Crowd,Rabbi,1
20,Crowd,Muslim,1
21,Crowd,David Lee Roth,1
22,Muslim,Rabbi,1
23,David Lee Roth,Rabbi,1
24,David Lee Roth,Muslim,1
25,Kyle,Ringtone,10
26,Ringtone,Stan,6
27,Cartman,Ringtone,2
28,Kenny,Stan,9
29,God,Kyle,25
30,Butters,Stan,1
31,David Lee Roth,Stan,7
32,Bishop,Stan,7
33,Kenny,Kyle,7
34,David Lee Roth,Kyle,7
35,Bishop,Kyle,7
36,David Lee Roth,Kenny,1
37,Bishop,Kenny,1
38,Cartman,Kenny,1
39,Bishop,David Lee Roth,1
40,Cartman,David Lee Roth,1
41,Bishop,Cartman,1
