,source,target,weight
0,Cartman,Stan,77
1,Kyle,Stan,49
2,Craig,Stan,33
3,Jimmy,Stan,12
4,Stan,Tolkien,6
5,Stan,Wendy,45
6,Cartman,Kyle,76
7,Cartman,Craig,31
8,Cartman,Jimmy,15
9,Cartman,Tolkien,11
10,Cartman,Wendy,30
11,Craig,Kyle,21
12,Jimmy,Kyle,6
13,Kyle,Tolkien,3
14,Kyle,Wendy,30
15,Craig,Jimmy,6
16,Craig,Tolkien,3
17,Craig,Wendy,25
18,Jimmy,Tolkien,3
19,Jimmy,Wendy,10
20,Tolkien,Wendy,5
21,Kenny,Kyle,14
22,Cartman,Kenny,25
23,Mr. Adler,Mr. Garrison,10
24,Mr. Adler,Principal Victoria,10
25,Mr. Adler,Mr. Mackey,10
26,Coach,Mr. Adler,2
27,Mr. Garrison,Principal Victoria,27
28,Mr. Garrison,Mr. Mackey,28
29,Coach,Mr. Garrison,5
30,Mr. Mackey,Principal Victoria,25
31,Coach,Principal Victoria,5
32,Coach,Mr. Mackey,5
33,Kenny,Stan,9
34,DJ,Kyle,26
35,Kyle,Scott,5
36,Kyle,Principal Victoria,4
37,Kyle,Mark,2
38,Kyle,Mr. Garrison,2
39,Cartman,DJ,43
40,Cartman,Scott,7
41,Cartman,Principal Victoria,10
42,Cartman,Mark,5
43,Cartman,Mr. Garrison,5
44,DJ,Stan,33
45,DJ,Scott,11
46,Craig,DJ,29
47,DJ,Principal Victoria,14
48,DJ,Mark,7
49,DJ,Mr. Garrison,7
50,Scott,Stan,6
51,Principal Victoria,Stan,6
52,Mark,Stan,3
53,Mr. Garrison,Stan,3
54,Craig,Scott,5
55,Principal Victoria,Scott,2
56,Mark,Scott,1
57,Mr. Garrison,Scott,1
58,Craig,Principal Victoria,6
59,Craig,Mark,3
60,Craig,Mr. Garrison,3
61,Mark,Principal Victoria,2
62,Mark,Mr. Garrison,1
63,John Garner,Randy,4
64,Mr. Garrison,Randy,18
65,Mr. Mackey,Randy,3
66,John Garner,Mr. Garrison,4
67,John Garner,Mr. Mackey,12
68,Mr. Garrison,Stephen,4
69,Randy,Sharon,70
70,Sharon,Stan,8
71,Randy,Stan,38
72,Farmer,Randy,1
73,Researcher,Tom Vilsack,13
74,Randy,Shelly,6
75,Sharon,Shelly,1
76,Randy,Soldier,4
77,A Quarantine,Soldier,2
78,Mr. Garrison,Soldier,2
79,A Quarantine,Randy,2
80,A Quarantine,Mr. Garrison,1
81,Agent,Tom Vilsack,4
82,Michael Taylor,Tom Vilsack,17
83,Agent,Researcher,1
84,Michael Taylor,Researcher,2
85,Agent,Michael Taylor,2
86,Aunt Jemima,Tolkien,6
87,Aunt Jemima,Jimmy,6
88,Aunt Jemima,Cartman,42
89,Blond,Mr. Garrison,18
90,Blond,Randy,30
91,DJ,Jamie,4
92,DJ,Wendy,20
93,Craig,Jamie,2
94,Jamie,Kyle,3
95,Jamie,Wendy,5
96,Jamie,Stan,3
97,Jamie,Scott,1
98,Cartman,Jamie,2
99,Scott,Wendy,5
100,Cartman,Tom Vilsack,36
101,Programmer,Tom Vilsack,9
102,Cartman,Programmer,4
103,Cartman,Michael Taylor,4
104,Michael Taylor,Programmer,1
